k,Madelon sse (left)
2,496068.40023078915
3,466499.38601494534
4,446598.50350390497
5,431687.14616090833
6,418736.6993610128
7,408905.8589110791
8,400829.6832037074
9,392063.90731113637
10,385468.33769859147
15,359263.5033937667
20,338776.0483870978
25,320735.03392977186
30,307525.67987910786
35,298778.8499668866
40,289049.85537830985
