k,Adult log-likelihood
2,-21.181625079440323
3,-19.62605707060455
4,-19.495725606284996
5,-19.11412529230717
6,-15.386806759285315
7,-18.67010746088509
8,-11.669154081079876
9,-12.18081295173169
10,-13.93729912951621
15,-12.457949857918878
20,-12.096013684498452
25,-9.814622525858491
30,-10.475336565305616
35,-8.294453835940292
40,-4.793890800879014
