k,Adult BIC
2,88498.68851736638
3,82392.95739779285
4,82196.2569917836
5,80957.79593509114
6,65847.98714224214
7,79804.20569613444
8,51121.90682852161
9,53586.898351303644
10,61212.94388945787
15,56797.83103471338
20,57015.51288501035
25,49275.13436658712
30,53732.72399943295
35,46409.05342878236
40,33613.98831071636
