k,Madelon BIC
2,16285.394158327417
3,17370.235338868115
4,19172.053893371285
5,20667.521248334528
6,22327.183671505867
7,23985.137047694734
8,25755.44209733786
9,27630.445892882235
10,29628.748648796074
15,38698.714473496424
20,46802.31979251482
25,54962.12037551318
30,58923.692864510915
35,65305.41024791724
40,64796.36994328056
