k,Adult sse (left)
2,16119.411103959666
3,14000.801511947298
4,12084.359327274771
5,10697.249891635889
6,8980.18952844033
7,8478.47843175133
8,7948.142354108442
9,7588.16287873016
10,7153.975887233314
15,5865.370266819835
20,5021.249700462512
25,4385.065803535645
30,4007.8466719647777
35,3727.0833597915653
40,3464.5973675187483
