k,Madelon sse (left)
2,20287.213319798306
3,18169.58487219896
4,16890.546660114655
5,15858.67357137093
6,15090.423429873077
7,14442.759160923433
8,13914.16485165375
9,13388.795250868925
10,13007.673976087775
15,11702.166707895103
20,10741.578266029719
25,10141.404482377486
30,9654.775392137657
35,9299.318067106904
40,9021.482809570665
