,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,2.266770839691162,0.4544978166743614,0.2033200740814209,0.178642867364453,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.6035714285714285,0.6071428571428571,0.6071428571428571,0.5678571428571428,0.6142857142857143,0.6,0.016444092047459058,302,0.6205357142857143,0.6178571428571429,0.6178571428571429,0.6821428571428572,0.6241071428571429,0.6325000000000001,0.024927189892131187
1,1.7377995491027831,0.2603551474304049,0.11180014610290527,0.0033103578249107295,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.6714285714285714,0.6857142857142857,0.6321428571428571,0.6178571428571429,0.6142857142857143,0.6442857142857142,0.028979232535858258,163,0.6776785714285715,0.6598214285714286,0.6205357142857143,0.6803571428571429,0.6267857142857143,0.6530357142857144,0.025080228410898846
2,2.0749286651611327,0.5896210677789346,0.14928412437438965,0.052628388754421995,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.6392857142857142,0.6607142857142857,0.6428571428571429,0.625,0.7,0.6535714285714286,0.02585280152979121,139,0.6741071428571429,0.6669642857142857,0.6535714285714286,0.6830357142857143,0.7017857142857142,0.6758928571428571,0.016140723626395227
3,2.403272199630737,0.7482006279205287,0.12474493980407715,0.013156527660657993,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.5964285714285714,0.6642857142857143,0.6857142857142857,0.675,0.7428571428571429,0.6728571428571428,0.04687151347577978,95,0.6357142857142857,0.6544642857142857,0.675,0.7357142857142858,0.74375,0.6889285714285714,0.04337705473578194
4,1.942007064819336,0.4894163499893943,0.16512327194213866,0.05544213845740709,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.6464285714285715,0.625,0.7178571428571429,0.6607142857142857,0.6678571428571428,0.6635714285714286,0.030838618778461287,122,0.6875,0.6258928571428571,0.7133928571428572,0.7294642857142857,0.6785714285714286,0.6869642857142857,0.035511028755378315
5,1.5535014629364015,0.6419957917083741,0.11722450256347657,0.0037269165972240287,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.5785714285714286,0.6464285714285715,0.6,0.6178571428571429,0.7178571428571429,0.6321428571428571,0.04828698223187305,214,0.6241071428571429,0.6232142857142857,0.6053571428571428,0.61875,0.7357142857142858,0.6414285714285713,0.04761733627877263
6,1.8043302059173585,0.3490414655710069,0.11989898681640625,0.007207934020502557,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.6678571428571428,0.6928571428571428,0.6142857142857143,0.6714285714285714,0.6071428571428571,0.6507142857142857,0.033836340806648595,148,0.6928571428571428,0.7071428571428572,0.6223214285714286,0.7267857142857143,0.6294642857142857,0.6757142857142856,0.04214210047746862
7,3.048190879821777,1.2472275111803437,0.12278156280517578,0.014999920988512895,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.7785714285714286,0.775,0.6607142857142857,0.6642857142857143,0.7571428571428571,0.7271428571428571,0.05328973558169855,51,0.8232142857142857,0.7866071428571428,0.6607142857142857,0.7571428571428571,0.7517857142857143,0.7558928571428571,0.053949853889458096
8,2.53773946762085,0.8102092962160329,0.12993464469909669,0.008132527577545668,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.7607142857142857,0.8214285714285714,0.8214285714285714,0.6714285714285714,0.6964285714285714,0.7542857142857143,0.06208125025040219,37,0.8160714285714286,0.8017857142857143,0.8080357142857143,0.6910714285714286,0.7276785714285714,0.7689285714285715,0.05018905584418394
9,2.3356446743011476,0.5156401303223759,0.1361262321472168,0.029323190692904455,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.7857142857142857,0.7714285714285715,0.8321428571428572,0.7178571428571429,0.7964285714285714,0.7807142857142857,0.037293649949161754,16,0.8285714285714286,0.7785714285714286,0.7964285714285714,0.7955357142857142,0.79375,0.7985714285714286,0.016352697462061572
10,3.226733446121216,0.9823029101977615,0.12924637794494628,0.015788192656151036,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.6,0.8357142857142857,0.85,0.7678571428571429,0.8178571428571428,0.7742857142857142,0.09145646895810987,19,0.6482142857142857,0.8196428571428571,0.8482142857142857,0.8714285714285714,0.8455357142857143,0.8066071428571429,0.08087846765741945
