k,Adult BIC
2,73354.39319797004
3,68715.11841595852
4,61583.405865825815
5,60119.000915731674
6,57930.97012367748
7,57946.45410525265
8,56819.706461007074
9,57156.05655767256
10,55189.254179190655
15,54349.353898384055
20,55248.0116713224
25,55221.29751778001
30,53672.94354605743
35,54658.783101346715
40,55610.24502321768
