k,Adult sse (left)
2,176762.08396188822
3,160465.73980333292
4,147004.7717065464
5,137685.31473857217
6,128931.2410654145
7,124091.39594071289
8,118077.6874522151
9,112377.90304043182
10,109841.82289429168
15,86649.55922718857
20,75173.70759826117
25,63123.27233350365
30,54766.356284475245
35,49211.46015337379
40,43713.76574479002
