k,Madelon sse (left)
2,485750.1993783548
3,458380.05116907746
4,437469.1437774138
5,422599.89538728347
6,410937.0330172521
7,400689.43059316
8,392355.0581170618
9,384254.7059414359
10,378046.22582464904
15,349801.79126308765
20,329401.08920060616
25,314242.2778808536
30,304048.5906047802
35,292714.2155400523
40,283377.48987451487
