k,Adult BIC
2,80143.78489695766
3,60686.969838484845
4,55718.90711366762
5,47029.53683479047
6,33849.57984717738
7,39712.93085884311
8,30910.454006727326
9,29824.983402835776
10,28928.798232177825
15,21740.70409054343
20,23234.1868838905
25,-1008.4750443403173
30,5127.075702320175
35,-4845.164803170692
40,-8117.137146421159
