k,Madelon log-likelihood
2,-39.61166037016114
3,-39.52661480145813
4,-39.44458568269447
5,-39.38708300266399
6,-39.27079533195322
7,-39.19615669969042
8,-39.06086353501715
9,-38.93295141593959
10,-38.92076366467313
15,-38.506753788046154
20,-38.010612177141425
25,-37.738298120375276
30,-37.44597934398898
35,-37.15111701064247
40,-36.71109002237542
