k,Adult BIC
2,66842.54187013113
3,61393.49374610126
4,55219.298422601845
5,54562.47651992078
6,55603.8070323976
7,53698.1559831081
8,50480.84545892484
9,49400.112456564355
10,48982.58999641925
15,48406.20854652405
20,49554.267037635225
25,48859.75770669591
30,48643.086918685636
35,47822.16809496631
40,49489.0145756296
