,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
53,0.1273658275604248,0.036830330742832366,0.01882634162902832,0.006272441087878378,0.1,"(25,)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 45}",0.4785714285714286,0.4714285714285714,0.4857142857142857,0.44642857142857145,0.55,0.48642857142857143,0.03443420226626844,340,0.5446428571428571,0.5,0.49107142857142855,0.5098214285714285,0.5660714285714286,0.5223214285714286,0.028437184624849118
54,0.21753239631652832,0.05123988612277587,0.005600786209106446,0.0018540496940115652,0.1,"(25,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 50}",0.5607142857142857,0.5035714285714286,0.48928571428571427,0.46785714285714286,0.5285714285714286,0.51,0.03213491965486284,152,0.5875,0.5767857142857142,0.5571428571428572,0.5571428571428572,0.5741071428571428,0.5705357142857143,0.011818137219838773
55,0.361939811706543,0.17640861371190952,0.008640241622924805,0.006410153223321802,0.1,"(25,)",55,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 55}",0.5214285714285715,0.4785714285714286,0.5285714285714286,0.4857142857142857,0.5142857142857142,0.5057142857142857,0.01989769753883445,185,0.5107142857142857,0.5526785714285715,0.5151785714285714,0.5285714285714286,0.5196428571428572,0.5253571428571429,0.014882618954296191
56,0.902113389968872,0.669902691872278,0.01411285400390625,0.010516672033393664,0.1,"(25,)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 60}",0.49642857142857144,0.48928571428571427,0.45357142857142857,0.4785714285714286,0.5214285714285715,0.4878571428571429,0.02220038609702866,329,0.49375,0.5571428571428572,0.5625,0.5,0.4875,0.5201785714285714,0.03265270248527428
57,0.21415772438049316,0.03908717723330452,0.0036087512969970705,0.0004965649332504714,0.1,"(25, 25)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 2}",0.5464285714285714,0.5392857142857143,0.525,0.4785714285714286,0.5035714285714286,0.5185714285714286,0.024784787961282084,68,0.5339285714285714,0.5482142857142858,0.5214285714285715,0.5482142857142858,0.5508928571428572,0.5405357142857143,0.011259916264596045
58,0.15674619674682616,0.04637170520437464,0.003398609161376953,0.0004904121787052295,0.1,"(25, 25)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 3}",0.525,0.5142857142857142,0.45714285714285713,0.46785714285714286,0.48928571428571427,0.4907142857142857,0.02601020208004732,319,0.5696428571428571,0.49464285714285716,0.49375,0.4928571428571429,0.5107142857142857,0.5123214285714286,0.02940958125148595
59,0.120430326461792,0.0055998326295995755,0.002599954605102539,0.001356340686578132,0.1,"(25, 25)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 4}",0.4714285714285714,0.5035714285714286,0.48214285714285715,0.48928571428571427,0.475,0.48428571428571426,0.011428571428571429,354,0.5116071428571428,0.5053571428571428,0.4982142857142857,0.4955357142857143,0.5044642857142857,0.5030357142857143,0.005663839831126303
60,0.14893097877502443,0.01588165207254475,0.004008436203002929,0.00254330710033378,0.1,"(25, 25)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 5}",0.45357142857142857,0.5035714285714286,0.5107142857142857,0.5428571428571428,0.475,0.49714285714285716,0.030672729362262688,265,0.5098214285714285,0.49375,0.5071428571428571,0.50625,0.5,0.5033928571428572,0.00579738681455281
61,0.11317734718322754,0.004179981586482738,0.0032143592834472656,0.003081681525829597,0.1,"(25, 25)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 6}",0.5321428571428571,0.5428571428571428,0.5142857142857142,0.5107142857142857,0.5107142857142857,0.5221428571428571,0.013054047773212195,41,0.51875,0.51875,0.5241071428571429,0.5241071428571429,0.525,0.5221428571428571,0.002789374884252367
62,0.16362524032592773,0.03674798506983525,0.004600048065185547,0.002461812998993426,0.1,"(25, 25)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 7}",0.4607142857142857,0.4642857142857143,0.5642857142857143,0.5321428571428571,0.5107142857142857,0.5064285714285715,0.03973123995763823,174,0.5196428571428572,0.5205357142857143,0.5410714285714285,0.5535714285714286,0.5526785714285715,0.5375,0.014886903571904518
63,0.11508784294128419,0.003622202121341246,0.0036101341247558594,0.0025937362851279743,0.1,"(25, 25)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 8}",0.5357142857142857,0.5142857142857142,0.5214285714285715,0.525,0.4928571428571429,0.5178571428571429,0.01428571428571428,78,0.5276785714285714,0.5294642857142857,0.5116071428571428,0.5258928571428572,0.5169642857142858,0.5223214285714286,0.006869780022025491
64,0.15346889495849608,0.04352635067783312,0.004000234603881836,0.0010960622980063586,0.1,"(25, 25)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 9}",0.5178571428571429,0.55,0.5035714285714286,0.4857142857142857,0.5107142857142857,0.5135714285714286,0.02111677928442071,107,0.5339285714285714,0.5133928571428571,0.5419642857142857,0.5607142857142857,0.5258928571428572,0.5351785714285715,0.01587780185783709
65,0.14411911964416504,0.04069546047660776,0.0029999256134033204,1.1738332390872165e-06,0.1,"(25, 25)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 10}",0.475,0.5357142857142857,0.5142857142857142,0.48928571428571427,0.48928571428571427,0.5007142857142857,0.02159459493975853,229,0.5071428571428571,0.5455357142857142,0.5044642857142857,0.5258928571428572,0.5107142857142857,0.5187499999999999,0.015309310892394857
