k,Adult sse (left)
2,41.16656079828056
3,40.35998535127774
4,39.65829818156171
5,39.16910644845348
6,38.61633906816979
7,37.88802150454674
8,37.01207796166914
9,36.53413879472901
10,35.91031996389298
15,32.61620903437914
20,29.5663043218067
25,26.165097235218866
30,23.655456933719407
35,21.137993752073633
40,18.751393062739616
