iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.244953958425,0.238134223783,0.24061317479,0.417282127031,0.437223042836,0.432113341204,0.380204241948,0.4,0.382541720154,9.7182826
10,0.137539208403,0.133771454382,0.134161450917,0.668020679468,0.68094534712,0.680047225502,0.315308453922,0.325,0.299741602067,92.8919864
20,0.119873736769,0.123157885403,0.118646859189,0.757016248154,0.750369276219,0.760330578512,0.0179104477612,0,0.0379146919431,173.6788071
30,0.114473055917,0.1115038244,0.110913004311,0.756277695716,0.759231905465,0.761511216057,0.156010230179,0.172588832487,0.192,252.4662797
40,0.119558995545,0.119025674279,0.119664069022,0.758862629247,0.759231905465,0.759149940968,0,0,0,332.966318
50,0.120256047084,0.120587423709,0.122257914111,0.755539143279,0.751846381093,0.752066115702,0.0119402985075,0.0117647058824,0,412.9116498
60,0.120348176365,0.120340260983,0.120405710438,0.759231905465,0.759231905465,0.759149940968,0,0,0,493.4999936
70,0.120294951612,0.120272473727,0.120328220482,0.759231905465,0.759231905465,0.759149940968,0,0,0,572.9964678
80,0.120305576218,0.120247176199,0.12029318989,0.759231905465,0.759231905465,0.759149940968,0,0,0,655.7108683
90,0.119947043215,0.120156772259,0.119977363407,0.751477104874,0.750369276219,0.752066115702,0.02886002886,0.0342857142857,0.018691588785,737.5714476
100,0.12264466924,0.121568285103,0.121378542614,0.748153618907,0.751846381093,0.753246753247,0.00583090379009,0,0.018779342723,823.6277254
110,0.12042421859,0.120592011604,0.120606454664,0.757385524372,0.757754800591,0.757969303424,0.00605143721634,0,0,903.8800715
120,0.120212329941,0.120349863843,0.120374547552,0.759231905465,0.759231905465,0.759149940968,0,0,0,982.5935107
130,0.120257399655,0.120385834937,0.120426172684,0.759231905465,0.759231905465,0.759149940968,0,0,0,1062.2305057
140,0.120521760003,0.120187281119,0.12049308585,0.757754800591,0.759231905465,0.757969303424,0,0,0,1147.5270922
