iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.379615952733,0.379615952733,0.379574970484,0.240768094535,0.240768094535,0.240850059032,0.388095238095,0.388095238095,0.388201712655,0.8798903
10,0.0649303807596,0.0915766167131,0.0901640742914,0.859675036928,0.805022156573,0.81227863046,0.639468690702,0.488372093023,0.504672897196,8.5261888
20,0.0235407069298,0.0954097320456,0.090873858995,0.940915805022,0.790251107829,0.805194805195,0.8738170347,0.55900621118,0.588528678304,16.2275124
30,0.0115599878513,0.0953439944865,0.0910503317418,0.968980797637,0.793205317578,0.796930342385,0.934984520124,0.5625,0.57,23.8833337
40,0.0067999174427,0.0964202858084,0.0937152694788,0.981905465288,0.788774002954,0.795749704841,0.96239447429,0.551724137931,0.574938574939,31.6712206
50,0.00495373143494,0.0925574529567,0.0921055371543,0.988552437223,0.796159527326,0.799291617473,0.976098689283,0.571428571429,0.575,39.344113
60,0.0038792010625,0.0912265850047,0.0934985121049,0.991506646972,0.80059084195,0.792207792208,0.982294072363,0.574132492114,0.562189054726,47.025099
70,0.00320881550975,0.0920346962009,0.0954552481024,0.993353028065,0.799113737075,0.788665879575,0.986196319018,0.569620253165,0.558024691358,54.7252451
80,0.00281743538881,0.093944597943,0.0962417131068,0.994091580502,0.794682422452,0.791027154664,0.987748851455,0.55873015873,0.560794044665,62.4594032
90,0.00235429927437,0.0946747033304,0.0984819402025,0.995199409158,0.794682422452,0.783943329398,0.990038314176,0.555910543131,0.550368550369,70.0893055
100,0.00209831758165,0.0937363836146,0.0975263157604,0.997045790251,0.797636632201,0.789846517119,0.993855606759,0.565079365079,0.563725490196,77.7196735
110,0.0019094332807,0.0945078181175,0.0964665554558,0.997045790251,0.794682422452,0.793388429752,0.993855606759,0.569659442724,0.578313253012,85.4373108
120,0.0018935456669,0.0963981272885,0.0954184396668,0.996676514032,0.791728212703,0.791027154664,0.993071593533,0.56346749226,0.569343065693,93.0660661
130,0.00156910242178,0.0967769580594,0.0949244928084,0.99741506647,0.791728212703,0.794569067296,0.994619523444,0.56880733945,0.577669902913,100.9506913
140,0.00142957372266,0.0982526969915,0.0944396784596,0.998153618907,0.788774002954,0.798110979929,0.99615680246,0.554517133956,0.579852579853,109.022497
150,0.00147801541543,0.102803753257,0.0937441821601,0.997784342688,0.782865583456,0.804014167651,0.995384615385,0.544891640867,0.589108910891,117.50689
160,0.00118125621155,0.103376026363,0.0931749153273,0.998522895126,0.779911373708,0.802833530106,0.996927803379,0.541538461538,0.589680589681,126.0802635
170,0.00109881537548,0.10211649797,0.0931779056636,0.998522895126,0.781388478582,0.801652892562,0.996927803379,0.540372670807,0.590243902439,134.2859093
180,0.00102507308119,0.101886666218,0.0917315241316,0.999261447563,0.782865583456,0.802833530106,0.998466257669,0.544891640867,0.597590361446,142.4172882
190,0.000913523082916,0.102094282575,0.092013248619,0.999630723781,0.782865583456,0.800472255018,0.999233716475,0.539184952978,0.588807785888,150.739883
200,0.000804740459558,0.105148990892,0.0930070609325,0.999261447563,0.776957163959,0.798110979929,0.998466257669,0.526645768025,0.581907090465,158.9518059
210,0.000704204584914,0.104741609275,0.0929561060426,0.999630723781,0.781388478582,0.798110979929,0.999233716475,0.534591194969,0.581907090465,167.0967757
220,0.000611788415107,0.10726239769,0.0921992894455,0.999630723781,0.775480059084,0.804014167651,0.999233716475,0.518987341772,0.591133004926,175.6093055
230,0.000568585318639,0.105945342071,0.0941357183756,1.0,0.779911373708,0.796930342385,1.0,0.526984126984,0.580487804878,184.2757111
240,0.000510270700478,0.106464211208,0.095605464245,1.0,0.77400295421,0.794569067296,1.0,0.517350157729,0.575609756098,192.3594811
250,0.000457655395922,0.103840047526,0.0959995368954,1.0,0.782865583456,0.791027154664,1.0,0.536277602524,0.569343065693,201.0382074
260,0.000417359942289,0.105105503632,0.0955466726343,1.0,0.781388478582,0.793388429752,1.0,0.534591194969,0.576271186441,209.2216838
