iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.2416486884,0.250444284007,0.236245786499,0.425775480059,0.404726735598,0.449822904368,0.252763094666,0.229445506692,0.267295597484,0.4342072
10,0.240198332665,0.248465278128,0.234349538617,0.432422451994,0.410635155096,0.451003541913,0.252795333009,0.231213872832,0.263074484945,4.7070926
20,0.236534046945,0.245058321174,0.230567110119,0.442762186115,0.420974889217,0.459268004723,0.251859196827,0.228346456693,0.266025641026,9.007055
30,0.232520072435,0.240680302457,0.228108513029,0.44682422452,0.426883308715,0.458087367178,0.24419778002,0.220883534137,0.260869565217,13.217174
40,0.237055797606,0.245288258659,0.231027863716,0.436853766617,0.418020679468,0.453364817001,0.257907542579,0.239382239382,0.279937791602,17.4030292
50,0.235067302817,0.240992472271,0.228906830185,0.443500738552,0.431314623338,0.459268004723,0.260186548846,0.252427184466,0.284375,21.6195542
60,0.235289276703,0.240940205025,0.22925676613,0.43870014771,0.42540620384,0.454545454545,0.261418853256,0.253358925144,0.282608695652,25.839591
70,0.233320431902,0.238921275185,0.226982610035,0.443500738552,0.431314623338,0.456906729634,0.262359275575,0.252427184466,0.283489096573,30.6968961
80,0.224561790034,0.23176384517,0.220487858904,0.465288035451,0.434268833087,0.473435655254,0.259713701431,0.23246492986,0.282958199357,35.2042194
90,0.219939558426,0.227198513519,0.215771820106,0.475627769572,0.454948301329,0.486422668241,0.250263991552,0.232848232848,0.27135678392,39.2900966
100,0.216782750699,0.22420733513,0.213159681644,0.481166912851,0.465288035451,0.486422668241,0.251465103889,0.239495798319,0.27135678392,43.366514
110,0.214165468855,0.221800331155,0.210221108038,0.485967503693,0.477104874446,0.489964580874,0.249190938511,0.240343347639,0.265306122449,47.4234083
120,0.21281736771,0.220308407164,0.208549484884,0.490398818316,0.483013293944,0.493506493506,0.252437703142,0.245689655172,0.269165247019,51.5097868
130,0.205760990493,0.213073044629,0.201348271391,0.500738552437,0.488921713442,0.513577331759,0.256325632563,0.247826086957,0.274647887324,55.6352035
140,0.203944692474,0.212285563695,0.198969411525,0.505169867061,0.491875923191,0.517119244392,0.257206208426,0.248908296943,0.27610619469,59.7375234
150,0.200557943652,0.210059761049,0.195554705441,0.512186115214,0.496307237814,0.528925619835,0.258281864121,0.247240618102,0.275862068966,63.8340905
160,0.199016793817,0.208345742208,0.194245375361,0.514401772526,0.497784342688,0.5360094451,0.257481648786,0.241071428571,0.278899082569,67.8975131
170,0.198484776104,0.207713627213,0.19385399064,0.516617429838,0.499261447563,0.538370720189,0.259196378042,0.241610738255,0.279926335175,71.9943269
180,0.198017841101,0.206768210111,0.194188337901,0.518463810931,0.500738552437,0.538370720189,0.259090909091,0.242152466368,0.279926335175,76.1958785
190,0.195504807753,0.206030095492,0.192040120677,0.528803545052,0.497784342688,0.539551357733,0.260718424102,0.227272727273,0.277777777778,80.2736125
200,0.191062116477,0.201868136378,0.188316968087,0.540620384047,0.503692762186,0.551357733176,0.260404280618,0.218604651163,0.280303030303,84.3746168
210,0.189898306149,0.200217309589,0.187016606218,0.542097488922,0.509601181684,0.553719008264,0.261025029797,0.227906976744,0.281368821293,88.4695438
220,0.189582674997,0.200336751068,0.186841340168,0.543574593796,0.512555391433,0.554899645809,0.263408820024,0.228971962617,0.281904761905,92.5352318
230,0.188967515038,0.19980985478,0.186273139828,0.545790251108,0.512555391433,0.558441558442,0.259036144578,0.221698113208,0.283524904215,96.5877833
240,0.186140352286,0.197142191553,0.184057581488,0.552067946824,0.514032496307,0.56080283353,0.256284488044,0.218527315914,0.279069767442,100.6719665
250,0.179766523969,0.189657205067,0.178980971677,0.568316100443,0.530280649926,0.566706021251,0.262460567823,0.212871287129,0.281800391389,104.7249747
260,0.17956998082,0.188780552699,0.178683801876,0.568316100443,0.536189069424,0.566706021251,0.262460567823,0.215,0.281800391389,108.7994991
270,0.186883367757,0.195751744516,0.184739623681,0.545790251108,0.514032496307,0.558441558442,0.264354066986,0.222222222222,0.283524904215,113.0289497
