,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
341,7.7479089260101315,0.4676684662319904,0.02145233154296875,0.008831332283999372,0.0001,"(25,)",60,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 60}",0.5642857142857143,0.5357142857142857,0.5535714285714286,0.5,0.5,0.5307142857142857,0.02668791670324201,218,0.5883928571428572,0.6044642857142857,0.5973214285714286,0.5,0.5,0.5580357142857142,0.04765883754266743
342,1.1604004383087159,0.102845063252476,0.002999687194824219,0.002683264900065381,0.0001,"(25, 25)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 2}",0.5,0.5,0.5464285714285714,0.5,0.5714285714285714,0.5235714285714286,0.029931895485367073,259,0.5,0.5,0.60625,0.5,0.55625,0.5325,0.04282960424752952
343,1.2825566291809083,0.1545344514785956,0.004270315170288086,0.0009007440665958767,0.0001,"(25, 25)",3,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 3}",0.5,0.5285714285714286,0.5,0.6535714285714286,0.6035714285714285,0.5571428571428572,0.06132050294667072,72,0.5,0.5803571428571429,0.5,0.5901785714285714,0.5830357142857143,0.5507142857142857,0.041532351540573734
344,1.4647874355316162,0.28240842538603356,0.006454992294311524,0.007503798391486299,0.0001,"(25, 25)",4,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 4}",0.5,0.5,0.5,0.5,0.4714285714285714,0.4942857142857143,0.011428571428571432,377,0.5,0.5,0.5,0.5,0.54375,0.50875,0.01749999999999998
345,1.4461193561553956,0.10869102427191428,0.007525110244750976,0.004950100436632395,0.0001,"(25, 25)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 5}",0.5,0.5,0.5,0.6214285714285714,0.625,0.5492857142857143,0.0603729903117584,116,0.5,0.5,0.5,0.58125,0.5758928571428571,0.5314285714285714,0.038529242803621355
346,1.6450814723968505,0.17056739098960624,0.006138515472412109,0.003260235896486558,0.0001,"(25, 25)",6,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 6}",0.5,0.5,0.5357142857142857,0.525,0.525,0.5171428571428571,0.014533564249554147,300,0.5,0.5,0.5633928571428571,0.55,0.5276785714285714,0.5282142857142857,0.02570808456973989
347,1.6098072052001953,0.11613100112215756,0.006880426406860351,0.003759682942603137,0.0001,"(25, 25)",7,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 7}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,343,0.5,0.5,0.5,0.5,0.5,0.5,0.0
348,1.9556625366210938,0.24839100230854588,0.006041622161865235,0.002804578194554152,0.0001,"(25, 25)",8,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 8}",0.5571428571428572,0.55,0.5178571428571429,0.5,0.5,0.525,0.024327694808466298,249,0.5330357142857143,0.5428571428571428,0.5098214285714285,0.5125,0.5,0.5196428571428571,0.015821468880954773
349,1.8815363883972167,0.13007686596963025,0.004441738128662109,0.0029248356496293223,0.0001,"(25, 25)",9,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 9}",0.5,0.5821428571428572,0.5,0.6464285714285715,0.6178571428571429,0.5692857142857143,0.060127415730671326,41,0.5,0.6330357142857143,0.5,0.5741071428571428,0.5982142857142857,0.5610714285714284,0.05326878800489272
350,2.2427113533020018,0.22119370672333957,0.008189678192138672,0.005188796858239075,0.0001,"(25, 25)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 10}",0.5714285714285714,0.4928571428571429,0.5142857142857142,0.5857142857142857,0.5821428571428572,0.5492857142857143,0.03822596617217045,116,0.6035714285714285,0.5196428571428572,0.5267857142857143,0.5553571428571429,0.5473214285714286,0.5505357142857144,0.02954588268563774
351,2.157817029953003,0.157329492561137,0.009087848663330077,0.008166294167763908,0.0001,"(25, 25)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 15}",0.6035714285714285,0.5035714285714286,0.5107142857142857,0.5,0.5,0.5235714285714286,0.04019087113324341,259,0.5883928571428572,0.5330357142857143,0.5330357142857143,0.5,0.5,0.5308928571428572,0.032323894933523556
352,3.065835952758789,0.3037990022800553,0.005231332778930664,0.004328523431652342,0.0001,"(25, 25)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 20}",0.5607142857142857,0.5,0.5,0.5,0.5,0.5121428571428571,0.02428571428571429,320,0.5446428571428571,0.5,0.5,0.5,0.5,0.5089285714285714,0.01785714285714284
353,3.6991953372955324,0.14225452148492213,0.009492921829223632,0.0008557397466237845,0.0001,"(25, 25)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 25}",0.5607142857142857,0.5035714285714286,0.525,0.5392857142857143,0.5892857142857143,0.5435714285714286,0.029485382057928996,148,0.5446428571428571,0.58125,0.53125,0.5375,0.5321428571428571,0.5453571428571429,0.018569711459079544
354,4.468037223815918,0.1519640461794261,0.005007410049438476,0.001659906198449263,0.0001,"(25, 25)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 30}",0.6357142857142857,0.525,0.5142857142857142,0.5714285714285714,0.5,0.5492857142857143,0.049404618473687364,116,0.61875,0.6151785714285715,0.5544642857142857,0.5830357142857143,0.5,0.5742857142857143,0.04390243124688832
355,4.297302293777466,0.06641477250650911,0.007852697372436523,0.00225816587942487,0.0001,"(25, 25)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 35}",0.5,0.5,0.525,0.5607142857142857,0.6142857142857143,0.54,0.043295378459119266,171,0.5,0.5,0.5803571428571429,0.5303571428571429,0.5982142857142857,0.5417857142857143,0.04072994686257977
