k,Madelon sse (left)
2,10.572139520222178
3,10.222397966011256
4,9.939273737766879
5,9.703503005563679
6,9.481500988827227
7,9.311575045336774
8,9.148443166274104
9,8.987705293421852
10,8.85437087162433
15,8.316806614974595
20,7.960929519940063
25,7.606601702690863
30,7.391110050124189
35,7.163347125563275
40,6.976327734768771
