k,Madelon log-likelihood
2,35.485800222406404
3,35.579353717283375
4,35.72358035561447
5,35.87751389139638
6,36.054562168201635
7,36.155749280245594
8,36.26968658894352
9,36.40894294057032
10,36.56140317783043
15,37.25016772772571
20,37.77723256388259
25,38.11718524762216
30,38.7429880579873
35,39.382561128110126
40,40.231203332873406
