k,Adult log-likelihood
2,36.0376880480747
3,38.7119991684304
4,38.82597331863248
5,40.374053146390665
6,39.95153532452326
7,41.44507965521237
8,41.88639749174594
9,41.924221159408965
10,42.16912682839628
15,43.121667445652115
20,44.172786125699574
25,45.24790683283577
30,45.62235657866082
35,45.97381038807307
40,46.41953045913751
