k,Adult BIC
2,-147816.1734558186
3,-158102.00838900762
4,-157772.68624393965
5,-163389.16623801936
6,-160835.54837675134
7,-166225.9241999826
8,-167253.76897844503
9,-166608.7269327702
10,-166822.24686458585
15,-166762.18540469973
20,-167110.82859314774
25,-167558.9841859056
30,-165102.1579730675
35,-162549.9906078619
40,-160388.6511634663
