k,Madelon log-likelihood
2,-5.845520308974755
3,-5.165576547692315
4,-4.85143756904379
5,-4.380996957976934
6,-3.9943293408937994
7,-3.606789761064508
8,-3.276572463609836
9,-2.9997728936558046
10,-2.7858809565433336
15,-1.2462437429866715
20,0.7864345448975151
25,2.7904417797307004
30,6.936402123747878
35,9.847594664495366
40,16.274479903223984
