k,Adult log-likelihood
2,-17.407307433801858
3,-16.144658749098163
4,-14.280843212459791
5,-13.783961491556719
6,-13.112543870518564
7,-12.972605934388604
8,-12.557165917742303
9,-12.494619712217819
10,-11.87656157346917
15,-10.955617626374007
20,-10.454007507967924
25,-9.729201073478697
30,-8.637380693456377
35,-8.156798501328865
40,-7.667924550055591
