k,Adult sse (left)
2,8.498624061537631
3,7.9109022055996014
4,7.377239283894459
5,6.875122723390725
6,6.374632474134767
7,6.038697751942835
8,5.727768117005612
9,5.290160331305168
10,4.994232193874314
15,4.215775565793386
20,3.7734016169302946
25,3.51915004449321
30,3.2576734936494276
35,3.0911306893952792
40,2.919633597560815
