k,Madelon sse (left)
2,494423.4367599456
3,485815.4434060547
4,479472.2747131302
5,474420.3733014384
6,470250.77630890184
7,465853.8888131435
8,462921.3770678557
9,460146.24778277276
10,457066.56617606094
15,446070.497395501
20,438501.2597942969
25,430904.684194176
30,423377.09725567064
35,419652.52210143127
40,413789.7447064455
