k,Madelon BIC
2,310097.83366039046
3,320862.05023613386
4,331851.3767741214
5,342662.074542029
6,353117.81370981474
7,363816.5211164666
8,374234.64244610304
9,383483.39124851674
10,381452.74669203314
15,411189.4049328847
20,378153.79443238105
25,350085.7758460771
30,308581.64107969834
35,315092.05126296554
40,319928.4169608701
