k,Madelon log-likelihood
2,-144.92652927904416
3,-143.77339390288375
4,-142.73511054827648
5,-141.60569006607741
6,-140.29516825728552
7,-139.10860983567028
8,-137.77889525231242
9,-135.85256203261645
10,-128.17143628287087
15,-110.11778764805585
20,-60.037471288059656
25,-12.491640598573433
30,41.909351407277406
35,71.81312660208444
40,102.57100612615812
