k,Adult sse (left)
2,206171.37944388716
3,200731.89536444837
4,196095.05621891527
5,192124.56584724557
6,187019.31639106857
7,182494.82934629728
8,179915.79876000778
9,175233.9473627142
10,173993.97876167344
15,157711.3806390661
20,141932.79761996173
25,131330.6642050212
30,118311.09135934254
35,109778.16346464507
40,102013.25300070966
