k,Adult BIC
2,372440.6902407756
3,247971.64504014835
4,262636.32354959566
5,190415.88739562331
6,85958.88940865411
7,-6895.9998484147945
8,-172556.41327958595
9,-156731.9633559804
10,-205951.52359726385
15,-254440.0733687094
20,-260038.37238901993
25,-167683.21438746492
30,-142750.82161163416
35,-136019.0910830574
40,-96953.43169196567
