k,Madelon BIC
2,78885.50134098713
3,79345.57931035072
4,79811.56952159543
5,80325.63155275717
6,80724.47500218553
7,81204.95056697192
8,81566.5432482338
9,81942.60277886326
10,82545.48207040248
15,84867.859132321
20,87029.25799505513
25,89629.35886390088
30,92190.25048229114
35,94746.15672903939
40,97017.54025214337
