,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.569964075088501,0.21011036192812785,0.0008000373840332031,0.0016000747680664064,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.5714285714285714,0.5357142857142857,0.5,0.47959183673469385,0.5,0.5173469387755102,0.032525260103080045,20,0.5369897959183674,0.5051020408163265,0.5,0.5535714285714286,0.5,0.5191326530612245,0.022063008480040485
1,0.65540771484375,0.2759478150810623,0.008492422103881837,0.004321377089476535,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.5510204081632653,0.5,0.5,0.5,0.5,0.5102040816326531,0.0204081632653061,68,0.514030612244898,0.49107142857142855,0.5,0.5,0.5369897959183674,0.5084183673469387,0.016065353565136536
2,0.7583245277404785,0.12526026936898607,0.007375669479370117,0.00393234927073809,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.5,0.5,0.49489795918367346,0.46938775510204084,0.49489795918367346,0.49183673469387756,0.011454053224818178,227,0.5012755102040817,0.5,0.5114795918367347,0.5051020408163265,0.5357142857142857,0.5107142857142858,0.01312226647919559
3,0.8785961151123047,0.4253768504729444,0.002618551254272461,0.002954685711850364,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.5,0.5102040816326531,0.5102040816326531,0.49489795918367346,0.49489795918367346,0.5020408163265306,0.006920744880740078,132,0.5586734693877551,0.4923469387755102,0.5344387755102041,0.5012755102040817,0.5012755102040817,0.5176020408163267,0.02506499257054412
4,0.6188426494598389,0.12300957244324094,0.004030036926269531,0.0033826553366734327,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.5255102040816326,0.5,0.5204081632653061,0.5255102040816326,0.5,0.5142857142857142,0.011812078472234915,41,0.5267857142857143,0.5,0.514030612244898,0.5178571428571429,0.5,0.511734693877551,0.010437383951774902
5,0.7581258773803711,0.15755993632522686,0.00237274169921875,0.001345006915036964,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.5357142857142857,0.5153061224489796,0.5306122448979592,0.5204081632653061,0.45918367346938777,0.5122448979591837,0.027494272623076486,50,0.5599489795918368,0.5510204081632653,0.5293367346938775,0.5318877551020408,0.5471938775510204,0.5438775510204081,0.011623250765198498
6,0.5308225631713868,0.07727911219572972,0.0014075279235839845,0.0012040062007096148,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.4846938775510204,0.4744897959183674,0.4642857142857143,0.4897959183673469,0.5612244897959183,0.49489795918367346,0.03430150268157469,204,0.49107142857142855,0.5255102040816326,0.46938775510204084,0.5357142857142857,0.5382653061224489,0.5119897959183672,0.02716088092695134
7,0.4884161949157715,0.07657263768939118,0.004640722274780273,0.0028154626389625824,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.5510204081632653,0.49489795918367346,0.5153061224489796,0.5204081632653061,0.4897959183673469,0.5142857142857142,0.02174211811496174,41,0.5204081632653061,0.49489795918367346,0.5280612244897959,0.5191326530612245,0.5102040816326531,0.5145408163265306,0.011339852434129005
8,0.6200204372406006,0.1285973094667227,0.0020192623138427734,0.0031178592348183507,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.4846938775510204,0.5,0.5,0.5459183673469388,0.41836734693877553,0.4897959183673469,0.041197202526910906,244,0.5255102040816326,0.5,0.5,0.5153061224489796,0.514030612244898,0.510969387755102,0.009800700363417616
9,0.7221920490264893,0.1282177846809474,0.000807809829711914,0.0009894571463151954,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.4846938775510204,0.5153061224489796,0.5204081632653061,0.5816326530612245,0.4846938775510204,0.5173469387755102,0.03543623541670477,20,0.5573979591836735,0.5382653061224489,0.5663265306122449,0.5497448979591837,0.5216836734693877,0.5466836734693877,0.015529827811453525
10,0.5898098945617676,0.065975650130661,0.0014143943786621093,0.0012069289411240673,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.5153061224489796,0.47959183673469385,0.576530612244898,0.5,0.4897959183673469,0.5122448979591837,0.03424073823584189,50,0.5280612244897959,0.5012755102040817,0.5357142857142857,0.5012755102040817,0.5063775510204082,0.5145408163265306,0.014489256960370305
11,0.5518897533416748,0.05430652211537434,0.005671167373657226,0.003922889598338227,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.5204081632653061,0.5153061224489796,0.5306122448979592,0.5357142857142857,0.4387755102040816,0.5081632653061224,0.03543623541670478,89,0.49107142857142855,0.4897959183673469,0.5076530612244898,0.5229591836734694,0.4987244897959184,0.5020408163265306,0.012250211432186712
12,0.6507444381713867,0.07933420669677108,0.004856014251708984,0.0035256359787347114,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.49489795918367346,0.5153061224489796,0.49489795918367346,0.4387755102040816,0.42857142857142855,0.4744897959183674,0.03430150268157471,288,0.5038265306122449,0.4897959183673469,0.5267857142857143,0.5459183673469388,0.5178571428571429,0.5168367346938776,0.019215805699251517
