k,Adult log-likelihood
2,-13.744319581028229
3,-6.893609918052177
4,-6.729384360043668
5,-5.891679621533777
6,-5.767580997281771
7,-0.44252498683599123
8,-0.5193811088164431
9,-0.14376351291341652
10,0.6524877106061062
15,2.7330858703377077
20,2.106785852844133
25,3.3085763925426064
30,4.638681244453771
35,6.069199204737652
40,5.8298338960075125
