k,Adult sse (left)
2,202117.87572855444
3,185010.17683585014
4,172281.8302562841
5,161589.59803947032
6,151058.27028810044
7,143369.70703947355
8,137037.47777025192
9,130893.89230236367
10,122950.53848322456
15,100992.16548216625
20,84711.15191834452
25,73136.68993340479
30,64056.619365059625
35,57859.00186594652
40,53103.017015279656
