k,Madelon log-likelihood
2,-39.05190474949937
3,-38.97248996891166
4,-38.879140978240564
5,-38.803260218961796
6,-38.71800462038267
7,-38.567830532547646
8,-38.55269519792706
9,-38.4816090973074
10,-38.38309450004369
15,-37.91686119342856
20,-37.59082926653068
25,-37.252682122480834
30,-36.78646985203539
35,-36.053981953445
40,-35.812785648637224
