k,Adult BIC
2,57663.61992094982
3,29604.23150331072
4,29267.006184867056
5,26137.536184064655
6,25966.677132975445
7,4232.648758726855
8,4894.948085517417
9,3681.29137796308
10,723.6876503107483
15,-6184.203094638421
20,-1869.2939968120108
25,-5133.648349103829
30,-8929.993839829469
35,-13142.65207786839
40,-10431.974282575178
