,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,6.99278507232666,1.221988408053909,0.0038504600524902344,0.0033154656556411,0.1,"(50, 50)",65,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 65}",0.777070707070707,0.7783449883449883,0.7155710955710956,0.683489827856025,0.6869490887418049,0.728328175757036,0.04186326846300439,158,0.8266361428863989,0.8056269077362668,0.7815604185561179,0.6899522891195634,0.72253308036583,0.7652617677328354,0.051301194459303597
1,5.477253103256226,0.31068084679595104,0.001199960708618164,0.001469645880398677,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.7031546231546231,0.7397202797202796,0.7174980574980575,0.7339123630672926,0.6819536371906271,0.7152639716464089,0.02099991266203548,273,0.7024828608486197,0.7240996460021649,0.744456959519421,0.7223131356299326,0.6926099435687878,0.7171925091137853,0.018099480062659507
2,3.6834710121154783,2.1777702911756665,0.005685234069824218,0.0023523037240216187,0.1,"(50, 50)",36,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 36}",0.6982206682206681,0.747039627039627,0.7165190365190365,0.7537402190923317,0.733084475673641,0.7297104249057819,0.020277090058238297,142,0.7075724330280955,0.7759325356192037,0.7621144300439815,0.7492910538935331,0.7620169293636895,0.7513854763897007,0.023471965106777584
3,3.152732563018799,1.1277815129032895,0.02906060218811035,0.02901848182061431,0.1,"(50, 50)",100,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 100}",0.7672027972027972,0.7813519813519814,0.7653069153069153,0.7539280125195618,0.7451221807459455,0.7625970886875147,0.012332394401598843,12,0.8028651395024526,0.7718420565031257,0.8191670811269418,0.8149920806363528,0.8163129986378673,0.805035871281348,0.01750732540294426
4,3.205924081802368,1.1012582085496976,0.007519578933715821,0.0063294490171191585,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.7559285159285158,0.7349494949494949,0.7049184149184149,0.7700469483568074,0.6426801342576618,0.7217417397943243,0.045156693213228495,215,0.7258281891499176,0.7345567225456637,0.7445705703948589,0.7459977278678854,0.6587424596224947,0.721939133916164,0.03243191574741647
5,4.515116024017334,0.6401876852715209,0.005416965484619141,0.003224990226986924,0.1,"(50, 50)",71,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 71}",0.7835742035742036,0.7816783216783217,0.7597513597513597,0.7581846635367762,0.7260422221525141,0.7618715658045953,0.02079893453514625,16,0.8063739114322772,0.7839316189305949,0.818055352388754,0.8034561913653139,0.7815221833041448,0.798667851484217,0.013923485463625812
6,3.6338346004486084,2.3243544147555864,0.007661056518554687,0.002294684226823467,0.1,"(50, 50)",42,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 42}",0.7572027972027973,0.7664180264180264,0.6414918414918415,0.7522535211267606,0.7177060133630289,0.7270122041918984,0.045849800509068714,169,0.7792677218337674,0.7633739016802706,0.6740221175506861,0.7733222095559997,0.7585804631251216,0.749713282749169,0.0385363158101031
7,3.737971305847168,3.0502661264277164,0.012956476211547852,0.014074833972610008,0.1,"(50, 50)",106,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 106}",0.6971095571095571,0.7228593628593628,0.6845609945609944,0.7617057902973395,0.6914034317262148,0.711524475125745,0.02823026548822671,307,0.6981753995884654,0.7310221077986796,0.7440932096778912,0.8591214811887126,0.7396414672115199,0.7544107330930537,0.0547692683872759
8,3.4362389087677,0.7743567918313483,0.004620361328125,0.00323329662606814,0.1,"(50, 50)",13,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 13}",0.6985470085470086,0.7246231546231546,0.6513286713286712,0.7591079812206571,0.6997396405156999,0.7066562664703635,0.03535606672669393,327,0.7009630106394391,0.7143812839491726,0.6533693182372274,0.7210339661360806,0.7225277291301809,0.7024550616184202,0.025698088927407662
9,6.860334253311157,0.9384478232593171,0.014556455612182616,0.014635184323707936,0.1,"(50, 50)",77,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 77}",0.7430536130536131,0.7664180264180264,0.7257342657342658,0.7403912363067291,0.7707032842937355,0.7492486005058349,0.016879597257379555,52,0.749356367572628,0.7904800912787806,0.7825853544366753,0.8310586052379753,0.8263738081338783,0.7959708453319875,0.030125472031862038
10,5.793577575683594,1.7652806396245995,0.005367803573608399,0.003917438721969822,0.1,"(50, 50)",48,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 48}",0.7804040404040404,0.7586402486402486,0.719067599067599,0.7253834115805946,0.6837887010257535,0.733493062664511,0.03339042382221106,114,0.7787986503223039,0.8024828608486195,0.7997644890436209,0.7320407620890765,0.7279986378672895,0.7682170800341821,0.03227259348174981
11,4.445080661773682,0.5959383361877452,0.004272937774658203,0.0026259855106112707,0.1,"(50, 50)",82,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 82}",0.7641958041958041,0.7206371406371406,0.7500466200466199,0.747981220657277,0.7069622635590828,0.7379821615010491,0.020950311676475625,91,0.7790765825068509,0.7369020801029812,0.8037857289137239,0.7493445959956349,0.7556149056236622,0.7649447786285706,0.02377028594263725
12,2.484826850891113,0.8503618655257074,0.008272886276245117,0.0022863378842616815,0.1,"(50, 50)",19,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 19}",0.6713597513597512,0.756091686091686,0.6993628593628594,0.7630046948356807,0.6956460365758023,0.7170919868230586,0.03604471732112387,251,0.6779565645631589,0.7571292043337917,0.7516749071121384,0.7560183756494414,0.73207530647986,0.7349708716276779,0.02990661947763277
13,2.7026506900787353,0.42093064489624615,0.008463096618652344,0.002964756999300626,0.1,"(50, 50)",54,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 54}",0.7478243978243977,0.7502097902097902,0.7004739704739704,0.7444757433489828,0.6908309545468804,0.7267812532731742,0.025642706542956827,172,0.7603342012619096,0.7669260700389104,0.7626268979842603,0.7864302896433025,0.7380779334500875,0.762879078475694,0.015444574955554433
14,2.4445041179656983,0.7538157077044266,0.007789802551269531,0.009271519937164713,0.1,"(50, 50)",94,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 94}",0.7695881895881895,0.7583139083139083,0.7630846930846931,0.7452112676056337,0.7601399040120455,0.7592717490711752,0.008004048431249832,27,0.7747515676350409,0.8231015281394147,0.8260544357001454,0.7856500351917635,0.7886120840630473,0.7996339301458824,0.020904227527518693
15,2.357557773590088,0.6875579992835789,0.004043054580688476,0.004233083120258396,0.1,"(50, 50)",88,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 88}",0.7289044289044289,0.7441647241647241,0.7347863247863248,0.7622691705790297,0.7151181028263119,0.7370548433900859,0.015733187089900038,95,0.7472372565655384,0.7544893361809193,0.8019879465199965,0.8187040085511604,0.7530725822144386,0.7750982260064108,0.029361915070764914
16,2.476852560043335,1.0410967355834224,0.004831552505493164,0.0015721102572152442,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 25}",0.6502175602175602,0.7176301476301477,0.6841025641025641,0.7441001564945227,0.697692838545751,0.6987340551964238,0.031577620884199985,355,0.6733970139356172,0.7421910808148777,0.7524219108081488,0.7760747603504184,0.7309641953687488,0.7350097922555623,0.034215744004672234
17,4.7265839099884035,1.6643130014181309,0.0068682670593261715,0.0029773839790527656,0.1,"(50, 50)",59,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 59}",0.7629215229215229,0.7171406371406371,0.7133488733488733,0.7196244131455398,0.7026882900969289,0.7231597484274772,0.0207161652255588,198,0.8039159182001697,0.7269750251114167,0.7932594131242504,0.7030452800690012,0.7546730881494454,0.7563737449308567,0.03829337509876811
18,4.495903062820434,0.990414563643356,0.005114364624023438,0.003582000781298953,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 30}",0.7524320124320123,0.7316161616161616,0.7026961926961927,0.7394679186228481,0.7191803381536434,0.7290817005918091,0.0170571124421502,153,0.736589040695123,0.7780082501974781,0.7830368723364832,0.7250505972864862,0.7410858143607706,0.7527541149752682,0.023322780697272946
19,2.936614465713501,0.8689747311620563,0.004830121994018555,0.0027437436235813128,0.1,"(50,)",65,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 65}",0.7031546231546231,0.7193628593628594,0.7163558663558662,0.7507668231611891,0.6630540481194516,0.7105573253315042,0.028400947525329588,313,0.7096915440351853,0.711637069327014,0.7550710433671729,0.7998547548793892,0.691824284880327,0.7336157392978176,0.03911493825357119
20,0.5301057815551757,0.19256195508579535,0.0018085479736328126,0.0009816618051819634,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.7179564879564879,0.7373348873348873,0.7041336441336441,0.7300312989045383,0.6937796041281092,0.7166581065193234,0.016047312586302695,259,0.720894649074047,0.7115844084920473,0.7282769179758736,0.70944453476294,0.7227763183498735,0.7185953657309564,0.007062446479450654
21,3.309922790527344,2.4156873726869104,0.004399490356445312,0.0004890465559656668,0.1,"(50,)",36,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 36}",0.7417793317793318,0.7363869463869462,0.7212898212898213,0.7533646322378716,0.7247482668841556,0.7355150421981171,0.011633109174284794,108,0.7247774104522005,0.7500248676165121,0.7707995670109126,0.7455104947387583,0.7521730881494454,0.7486570855935658,0.01472862861109271
22,5.486426925659179,2.184540065582731,0.0193270206451416,0.02038649477850365,0.1,"(50,)",100,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 100}",0.7581507381507381,0.7673659673659674,0.7346231546231545,0.7542879499217526,0.6915838012484707,0.7412314078171711,0.026994042803878817,79,0.7715207278897633,0.7676472309177614,0.7621929336961081,0.7992151701324631,0.7450223778945321,0.7691196881061256,0.017563208401099432
23,1.1132558822631835,1.0618019445016755,0.0026015758514404295,0.0008011823891881673,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 7}",0.7651437451437451,0.7277933177933177,0.6964879564879565,0.7175899843505477,0.6800872047429343,0.7174455925920441,0.02904011355815667,244,0.7290590288951952,0.7265142428054572,0.7352427762012035,0.6800572219047555,0.7161865148861646,0.7174119569385551,0.019663783697001627
