,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.5230289936065674,0.10179766823350099,0.0036293983459472655,0.0022401180163080527,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.43214285714285716,0.5357142857142857,0.5142857142857142,0.5142857142857142,0.5107142857142857,0.5014285714285714,0.03575711717366806,220,0.5321428571428571,0.5482142857142858,0.5196428571428572,0.5357142857142857,0.5267857142857143,0.5325,0.009543135154205278
1,0.383971643447876,0.08507083317598126,0.003266716003417969,0.0035270469743172144,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.45357142857142857,0.4928571428571429,0.5,0.525,0.4928571428571429,0.4928571428571429,0.022924009336973167,307,0.5464285714285714,0.5125,0.5178571428571429,0.5053571428571428,0.51875,0.5201785714285714,0.013965153425726523
2,0.4985309600830078,0.11566532861953042,0.005017900466918945,0.002002543252346438,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.48928571428571427,0.5214285714285715,0.475,0.5,0.45357142857142857,0.4878571428571429,0.022879453397209967,340,0.49464285714285716,0.5107142857142857,0.5294642857142857,0.5169642857142858,0.5464285714285714,0.5196428571428571,0.01746899585913655
3,0.5375240802764892,0.12573453127839695,0.004408979415893554,0.003231718456677138,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.4785714285714286,0.525,0.5107142857142857,0.5285714285714286,0.5214285714285715,0.5128571428571429,0.01815466432448405,112,0.5857142857142857,0.5428571428571428,0.5580357142857143,0.5160714285714286,0.5553571428571429,0.551607142857143,0.022618734333670013
4,0.4352406024932861,0.055803518160600904,0.0050121784210205075,0.002696858440580102,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.5178571428571429,0.4714285714285714,0.4714285714285714,0.475,0.4785714285714286,0.4828571428571429,0.017699302419091262,365,0.5633928571428571,0.5267857142857143,0.5410714285714285,0.5223214285714286,0.5214285714285715,0.5349999999999999,0.01584563610819928
5,0.66460280418396,0.15645831869793136,0.004793787002563476,0.0003961494867180588,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.48928571428571427,0.5142857142857142,0.5285714285714286,0.5142857142857142,0.5178571428571429,0.5128571428571429,0.01289676434661986,112,0.6,0.5848214285714286,0.5696428571428571,0.6232142857142857,0.5964285714285714,0.5948214285714286,0.01771730964973209
6,1.04274263381958,0.30299248542232815,0.006000709533691406,0.0010949741706712173,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.4714285714285714,0.4857142857142857,0.475,0.5357142857142857,0.5214285714285715,0.49785714285714283,0.025911938781738655,250,0.6491071428571429,0.5866071428571429,0.5946428571428571,0.6276785714285714,0.6178571428571429,0.6151785714285715,0.022594755125552334
7,0.4484231472015381,0.1375645705252305,0.005610370635986328,0.0013744591059909061,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.49642857142857144,0.5392857142857143,0.4785714285714286,0.5107142857142857,0.4785714285714286,0.5007142857142857,0.022745261897272346,231,0.4973214285714286,0.48392857142857143,0.5017857142857143,0.4928571428571429,0.55,0.5051785714285714,0.023175792261296617
8,0.9581562519073487,0.10080909869245618,0.00560154914855957,0.0007997894801109156,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.4928571428571429,0.5071428571428571,0.4857142857142857,0.5392857142857143,0.5571428571428572,0.5164285714285715,0.02744196101756935,83,0.5910714285714286,0.6178571428571429,0.6089285714285714,0.6071428571428571,0.5571428571428572,0.5964285714285713,0.021458312693999705
9,0.5259998798370361,0.023401192388300532,0.005799579620361328,0.0011659036856763467,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.5392857142857143,0.48928571428571427,0.49642857142857144,0.49642857142857144,0.48214285714285715,0.5007142857142857,0.01999999999999999,231,0.5053571428571428,0.525,0.5160714285714286,0.51875,0.5178571428571429,0.5166071428571428,0.006378775392675642
10,1.291794204711914,0.14338430527949708,0.0064166545867919925,0.0010465304551683123,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.5107142857142857,0.49642857142857144,0.5714285714285714,0.5142857142857142,0.45,0.5085714285714286,0.03890071086911456,151,0.6776785714285715,0.7044642857142858,0.6580357142857143,0.6294642857142857,0.6848214285714286,0.6708928571428571,0.025490094114364995
