,0,1,2,3,4,5,6,7,8,9
2,0.08609998862414779,0.07992173889435081,0.08144709570886029,0.06473285368118727,0.07760158704184607,0.09120425242380181,0.09127113624706752,0.06774350234877007,0.06740943802875235,0.10783625137729233
3,0.10329501322683907,0.11567218503045529,0.11293846205093361,0.07977261256178172,0.10717373064172406,0.0952570838094445,0.08357500913950584,0.10698555152707502,0.08340862750590596,0.11293764575185697
4,0.11761230335120393,0.10748824694662006,0.1253135145687401,0.10129929585684687,0.11499995080443903,0.09143433906673219,0.11351898329982713,0.1079120022785892,0.12787530483533646,0.1179238368268411
5,0.14228623824650372,0.12754137389787082,0.1278622700163666,0.1276896756920118,0.11809356852457233,0.11277126763729872,0.13830735015977175,0.13843597542693042,0.14014040125467567,0.12526431785118702
6,0.14438689817170516,0.15553039611015546,0.14423652806820483,0.1557618408589836,0.13346920662310138,0.14422982867518291,0.1395272583676872,0.16498257524016574,0.12778893373400244,0.15747111936876634
7,0.1450319489503749,0.1518546498755871,0.18679228726052036,0.152878018415251,0.1733354315232357,0.15187581109068907,0.13294474209158744,0.15434363880427812,0.15653681815362183,0.17665048407876927
8,0.15440919560213423,0.15851040271360115,0.17878075709536032,0.15407436993226115,0.18110597729796163,0.15620490997048583,0.16517592112555388,0.15539104419257307,0.16723355944441773,0.17403557196487732
9,0.18402140513071533,0.1807335101890098,0.19051598213828763,0.161284993182444,0.16406346753155898,0.17089907276456998,0.19528582850927953,0.1673466015196833,0.18254302214734797,0.169078010901904
10,0.20752272209035225,0.18264906459311814,0.1730917948398328,0.18631354688492505,0.17960280088845548,0.18849318923037292,0.17190115906196066,0.19420686682232086,0.18659438085519417,0.2003171419656194
15,0.23289231150021383,0.24859663485137487,0.22249542120109891,0.2451455316153846,0.2286312084231169,0.22529728699593948,0.22934323049776192,0.21306151921275385,0.24387612711296688,0.2144694795729305
20,0.26646844948054504,0.2684360281041574,0.2795568553213164,0.263883889976317,0.2563033501121894,0.25846221631151584,0.2452443971340586,0.2576963363037714,0.25331011106619616,0.2527853627977756
25,0.3075795162469178,0.27210769887313857,0.2962762494185577,0.2877541693180383,0.2727207696564309,0.2981577898357113,0.2802682898261138,0.2856087122944234,0.2970669429725439,0.28169428736618923
30,0.30442994446059446,0.30230958200412733,0.3148100026624857,0.31767261345284975,0.3159421013323136,0.3058838702202596,0.3173536586331079,0.31635619408553767,0.31819166367077384,0.31955565820617315
35,0.32162561745747653,0.34861710557207415,0.3472331982675493,0.35246170142260796,0.3522400808430297,0.31905800899838715,0.32436099029897353,0.3228379335908883,0.32724091962980334,0.33661379104496697
40,0.3510785474007252,0.36003731782353066,0.3493339577591756,0.36764543331883637,0.3526488922843044,0.34880079809704995,0.3516693819670043,0.3545551107009397,0.37143967411083695,0.34885122930644874
45,0.37596547226077587,0.3776440112416747,0.38775908920867297,0.3702347044094162,0.37752563668229094,0.379890232330613,0.3799439266341298,0.3549497942719581,0.37280653077065523,0.37802752883440954
50,0.3884920389407973,0.39437578776441634,0.37017229085179465,0.3716145383747226,0.3815412853542123,0.3990108684000531,0.39623762663462847,0.38966583999,0.39544643542180397,0.39075490229557347
55,0.4061387477569481,0.40479951860984986,0.4162838817468025,0.39718677094416316,0.3826467799905391,0.40389008331307324,0.4021128253252784,0.4092163230155605,0.39820385355230464,0.41866089654016475
60,0.4130104797445576,0.40800122044826265,0.4194379673342308,0.4227441622989511,0.4138667449676056,0.4376873673326702,0.42375671095968537,0.4147589668258466,0.4111750685838375,0.43511089254511726
