,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.5762175559997559,0.02716182770397215,0.006855964660644531,0.003278334536899226,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.5,0.49810411810411803,0.5,0.5000000000000001,0.5,0.4996204395799264,0.0007586406371428198,373,0.5,0.501884575251358,0.5,0.5000000000000001,0.5,0.5003769150502716,0.0007538301005431847
1,0.684311056137085,0.0072379388823754515,0.005401992797851562,0.00233552449367183,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.5604195804195804,0.5670862470862471,0.5462703962703962,0.5561658841940532,0.5572398757802941,0.5574369583822869,0.006761357996795997,295,0.5623582302058648,0.552066450172123,0.5670655237315078,0.5553221336235641,0.5506742556917688,0.5574973186849658,0.006260334816780136
2,0.7501369476318359,0.22346434828184353,0.0042003154754638675,0.0004006157990943142,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.5671173271173271,0.613030303030303,0.6054156954156954,0.6467918622848201,0.6002148749960788,0.6065046676753371,0.02552715454914841,236,0.6284948753205972,0.592060891528432,0.622206781545303,0.612007157118812,0.6178590192644483,0.6145257449555185,0.012460004559071633
3,1.1183938026428222,0.23031220556888596,0.005425405502319336,0.0034708934734909683,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.5166977466977466,0.506045066045066,0.5034965034965034,0.5333646322378717,0.5346387904262994,0.5188329851305461,0.013145079094186466,333,0.5307885472435954,0.5154505914591928,0.5017543859649123,0.5428385491453221,0.5602033469546605,0.5302070841535367,0.02043026137889116
4,1.0262172222137451,0.3742158940511631,0.005213260650634766,0.0014938660701062313,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.5,0.5,0.5661383061383062,0.5607981220657278,0.5431553687380406,0.5340031487937571,0.02880810852819944,314,0.5,0.5,0.5748042284700078,0.58772143309817,0.5799148667055847,0.5484881056547525,0.03980358373922882
5,0.9812240123748779,0.3095437824840358,0.0037833690643310548,0.0020386491704360125,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.5766278166278167,0.5902874902874903,0.5535897435897436,0.5485602503912365,0.5605806330186015,0.5659386621522959,0.015433313288447228,285,0.6109861228947856,0.5988531640385009,0.562228040919419,0.5705130014826296,0.5642985016540183,0.5813757661978707,0.019791415633534957
6,0.9730615139007568,0.12976068779697109,0.003912019729614258,0.001007290765279032,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.6569153069153069,0.6537140637140636,0.6801165501165501,0.6833020344287951,0.6502634963455566,0.6648659222567189,0.013949703107376843,188,0.6771920072554928,0.6793720683030534,0.6928512916532577,0.6761092219943169,0.6550228643705002,0.6761094907153242,0.012138780531004905
7,1.0065918922424317,0.2968154159648967,0.0035246849060058595,0.0027963612814818073,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.6023776223776224,0.5925097125097125,0.5964957264957265,0.6078716744913928,0.6196869412465886,0.6037762218014159,0.009501518725216434,241,0.5949187170260282,0.5975502959733965,0.5980018138732044,0.6400666258448702,0.6353351819420121,0.6131745269319022,0.02010911248338762
8,1.0557857513427735,0.2693184206110432,0.0033548355102539064,0.001448160136327546,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.5753535353535353,0.6114296814296813,0.6233566433566433,0.5357746478873241,0.5405674582013237,0.5773352114818417,0.03567196543226639,275,0.5833416225388375,0.6160147450337907,0.6190110490233365,0.5523602818845652,0.5827772913018097,0.5907009979564679,0.024613820609959484
9,1.7154181957244874,0.5015175009194975,0.0056003093719482425,0.0010207126867336689,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.6578632478632479,0.7136441336441335,0.702043512043512,0.6988732394366197,0.6626619404623734,0.6870296571355237,0.022444558435688128,169,0.708597368908653,0.7513886857220873,0.712297280165394,0.7197664785554148,0.6989326717260168,0.7181964970155131,0.0179009788436797
10,1.5947197914123534,0.4493970223373056,0.005799674987792968,0.0007495781331224181,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.6809013209013208,0.7180885780885781,0.6553146853146854,0.6649608763693272,0.697873208068007,0.6834242144738191,0.02257918153018892,179,0.7114025335712824,0.7454219205601552,0.6839491725422506,0.7138461823020964,0.7041204514496984,0.7117480520850966,0.019846455334982166
