k,Adult sse (left)
2,15539.65206649556
3,13323.268729261628
4,11258.818840317785
5,9728.26863357997
6,8637.799187613626
7,8046.91523497688
8,7537.935198464653
9,7200.25585123502
10,6952.10656616465
15,5775.5906213563885
20,4892.448462937007
25,4256.076348986631
30,3924.9735773447965
35,3613.8837871751057
40,3362.1705696250137
