k,Madelon log-likelihood
2,-3.253403536827923
3,-2.7641594250832235
4,-2.5774582388004226
5,-2.1172446863288945
6,-1.7561748905984493
7,-1.2429530699870022
8,-0.7996697607161231
9,-0.5025561841038514
10,-0.1854083571021758
15,1.219660760484738
20,2.9048601484140035
25,5.243239430509808
30,9.09499837678974
35,14.335809446661246
40,20.253276273084637
