iterations,fitness,time,fevals
0,24.0,0.00327229999999,728
10,24.0,0.00595419999999,1357
20,26.0,0.00869169999999,1983
30,28.0,0.0116677,2620
40,33.0,0.0145176,3249
50,27.0,0.0172061,3884
60,29.0,0.0200414,4509
70,33.0,0.0246007,5132
80,33.0,0.0280294999999,5763
90,34.0,0.0306022999999,6382
100,35.0,0.0331532999999,7009
110,36.0,0.0348471999999,7644
120,36.0,0.0376933999999,8271
130,36.0,0.0407514999999,8900
140,36.0,0.0432839999999,9529
150,36.0,0.0463330999999,10169
160,37.0,0.0491500999999,10810
170,37.0,0.0528912999999,11451
180,37.0,0.0546047999999,12076
190,39.0,0.0571457999999,12706
200,38.0,0.0591002,13344
210,37.0,0.0628097,13970
220,38.0,0.0656443,14589
230,38.0,0.0679039,15206
240,37.0,0.0712507,15834
250,39.0,0.0738347,16463
260,39.0,0.077474,17100
270,39.0,0.0829609,17723
280,38.0,0.0859009,18361
290,38.0,0.0880908,18988
300,39.0,0.0909766,19615
310,39.0,0.092818,20235
320,39.0,0.0957424,20865
330,39.0,0.0983787,21496
340,40.0,0.1003706,22129
350,42.0,0.1027199,22750
360,40.0,0.1060663,23385
370,40.0,0.1098021,24000
380,40.0,0.112574,24626
390,40.0,0.1142325,25246
400,40.0,0.1160492,25863
410,43.0,0.1180919,26485
420,41.0,0.1222669,27109
430,41.0,0.1253851,27737
440,41.0,0.1285694,28373
450,41.0,0.1312564,28995
460,42.0,0.133772,29624
470,42.0,0.1370468,30253
480,41.0,0.1389495,30882
490,41.0,0.1414637,31514
500,42.0,0.1431814,32154
510,42.0,0.1458835,32783
520,41.0,0.1475517,33418
530,42.0,0.1507434,34048
540,42.0,0.1543627,34686
550,41.0,0.1575596,35321
560,42.0,0.1597232,35952
570,42.0,0.1617818,36575
580,42.0,0.1636247,37218
590,43.0,0.1664049,37855
600,42.0,0.1692637,38488
610,43.0,0.1713104,39130
620,42.0,0.173931,39760
630,42.0,0.1765128,40407
640,42.0,0.1791146,41040
650,42.0,0.1813408,41673
660,43.0,0.1834315,42313
670,43.0,0.1892777,42935
680,41.0,0.190945,43563
690,42.0,0.1935701,44197
700,42.0,0.1959776,44838
710,42.0,0.1979109,45468
720,42.0,0.2002054,46103
730,42.0,0.2023475,46731
740,43.0,0.2056809,47375
750,42.0,0.209495,48001
760,43.0,0.2129592,48637
770,42.0,0.2160933,49258
780,42.0,0.2189109,49891
790,42.0,0.2217251,50528
800,43.0,0.2243878,51147
810,42.0,0.2270047,51773
820,43.0,0.2296284,52395
830,43.0,0.2323289,53022
840,43.0,0.2341208,53655
850,44.0,0.2372194,54291
860,45.0,0.2388882,54919
