iterations,fitness,time,fevals
0,20.0,0.00193709999999,642
10,22.0,0.0047477,1193
20,24.0,0.00774050000001,1750
30,31.0,0.0105509,2306
40,30.0,0.0142185,2854
50,33.0,0.0162698,3408
60,33.0,0.0198878,3961
70,34.0,0.0222779,4508
80,35.0,0.0248946,5057
90,34.0,0.0279637,5611
100,34.0,0.0298627,6158
110,34.0,0.0318062,6710
120,35.0,0.0338561,7253
130,35.0,0.0368363,7796
140,35.0,0.0386217,8346
150,35.0,0.0401948,8896
160,35.0,0.0429491,9443
170,36.0,0.0443337,10001
180,35.0,0.0458858,10543
190,36.0,0.0483725,11092
200,36.0,0.0506673,11642
210,36.0,0.053168,12191
220,36.0,0.0560753,12740
230,37.0,0.0576276,13283
240,37.0,0.0595201,13827
250,37.0,0.0619076,14373
260,37.0,0.0653268,14924
270,37.0,0.0678971,15467
280,37.0,0.0700558,16009
290,38.0,0.0724513,16558
300,39.0,0.0749307,17109
310,39.0,0.0764447,17663
320,38.0,0.0778876,18208
330,38.0,0.0804339,18751
340,38.0,0.0827644,19297
350,38.0,0.0852952,19849
360,38.0,0.0879204,20396
370,38.0,0.090237,20941
380,38.0,0.0930959,21486
390,38.0,0.0956354,22032
400,38.0,0.0975307,22579
410,38.0,0.0998127,23122
420,38.0,0.1024084,23676
430,38.0,0.1058544,24227
440,38.0,0.109324,24781
450,38.0,0.1110101,25329
460,38.0,0.1140954,25882
470,38.0,0.1163607,26427
480,38.0,0.1187817,26979
490,39.0,0.1203254,27526
500,39.0,0.1217228,28073
510,39.0,0.1241114,28618
520,41.0,0.1259289,29161
530,40.0,0.1282218,29708
540,40.0,0.1296713,30262
550,39.0,0.1318196,30808
560,40.0,0.1342384,31353
570,39.0,0.1365322,31894
580,39.0,0.1391986,32445
590,39.0,0.1436539,32989
600,39.0,0.1462966,33535
610,39.0,0.1488658,34086
620,39.0,0.1505369,34630
630,39.0,0.1531295,35175
640,39.0,0.1560446,35720
650,39.0,0.1584712,36267
660,39.0,0.1640959,36820
670,39.0,0.1663264,37365
680,39.0,0.1687934,37913
690,39.0,0.1710009,38464
700,39.0,0.1734713,39006
710,40.0,0.1757092,39554
720,40.0,0.1786103,40102
730,40.0,0.1810631,40640
740,40.0,0.1835317,41179
750,40.0,0.1861072,41719
760,40.0,0.1890108,42266
770,40.0,0.191436,42808
780,41.0,0.1941585,43363
790,41.0,0.1963928,43912
800,41.0,0.1987565,44473
810,40.0,0.2011973,45023
820,40.0,0.2033469,45568
830,40.0,0.2072937,46112
840,40.0,0.2096432,46655
850,40.0,0.2121917,47205
860,40.0,0.2155768,47753
870,41.0,0.2176891,48300
880,40.0,0.2201675,48841
890,40.0,0.221646,49384
900,40.0,0.2240228,49923
910,40.0,0.2262766,50475
920,41.0,0.2285096,51024
930,40.0,0.2300337,51564
940,40.0,0.2322823,52111
950,40.0,0.2349342,52661
960,40.0,0.2363273,53218
970,40.0,0.239093,53772
980,40.0,0.2425657,54320
990,40.0,0.2448164,54869
1000,41.0,0.2470954,55430
1010,40.0,0.2484949,55985
1020,40.0,0.2499483,56529
1030,41.0,0.2560588,57087
1040,40.0,0.2585151,57640
1050,40.0,0.2610816,58185
1060,40.0,0.2636989,58738
1070,40.0,0.2657815,59280
1080,40.0,0.2689929,59831
1090,40.0,0.270711,60379
1100,40.0,0.27228,60925
1110,40.0,0.2743428,61471
1120,42.0,0.276069,62023
1130,40.0,0.2784231,62576
1140,41.0,0.2808977,63127
1150,41.0,0.2830817,63677
1160,42.0,0.2853838,64226
1170,42.0,0.2868182,64767
1180,42.0,0.2884598,65308
1190,43.0,0.2909931,65860
1200,43.0,0.2944605,66404
1210,43.0,0.2965098,66946
1220,43.0,0.2990594,67496
1230,44.0,0.3005002,68048
1240,44.0,0.3026972,68600
1250,44.0,0.3055403,69153
1260,44.0,0.3087694,69709
1270,43.0,0.31018,70252
1280,44.0,0.3130609,70797
1290,43.0,0.3155908,71349
1300,43.0,0.3171565,71891
1310,43.0,0.320105,72438
1320,43.0,0.3226356,72979
1330,44.0,0.3243836,73530
1340,43.0,0.3258987,74088
1350,43.0,0.3283457,74638
1360,43.0,0.3318507,75193
1370,43.0,0.3370192,75738
1380,44.0,0.3396326,76285
1390,43.0,0.34173,76833
1400,44.0,0.3456887,77386
1410,44.0,0.3523114,77934
1420,45.0,0.3543197,78491
1430,45.0,0.3572301,79047
1440,45.0,0.3599478,79596
1450,45.0,0.3628818,80140
1460,45.0,0.3681016,80682
1470,45.0,0.3703173,81236
1480,45.0,0.3728088,81779
1490,46.0,0.3753243,82334
1500,45.0,0.3769646,82876
1510,45.0,0.3794544,83425
1520,46.0,0.3828196,83974
1530,45.0,0.3855839,84527
1540,45.0,0.3885686,85072
1550,46.0,0.3912247,85615
1560,46.0,0.3937565,86160
1570,49.0,0.3963681,86717
1580,48.0,0.3992279,87266
1590,46.0,0.4015017,87813
1600,45.0,0.4042989,88356
1610,45.0,0.4078158,88907
1620,46.0,0.4102175,89453
1630,45.0,0.4126732,89997
1640,45.0,0.4151425,90549
1650,45.0,0.417606,91106
1660,45.0,0.4213098,91658
1670,46.0,0.4227059,92203
1680,45.0,0.4253317,92747
1690,45.0,0.4277541,93296
1700,45.0,0.4298871,93843
1710,46.0,0.4322755,94383
1720,45.0,0.4347469,94928
1730,46.0,0.4369754,95475
1740,46.0,0.4393419,96024
1750,46.0,0.4413919,96581
1760,46.0,0.4430492,97131
1770,46.0,0.4448877,97682
1780,45.0,0.4473389,98228
1790,45.0,0.4496766,98779
1800,45.0,0.4520655,99318
1810,45.0,0.4540332,99868
1820,45.0,0.4562421,100407
1830,45.0,0.4582262,100956
1840,45.0,0.4604027,101506
1850,45.0,0.4618925,102048
1860,45.0,0.4656542,102601
1870,45.0,0.4672364,103157
1880,45.0,0.4691782,103708
1890,45.0,0.4717802,104250
1900,46.0,0.4739987,104802
1910,45.0,0.4770913,105347
1920,45.0,0.4787825,105896
1930,45.0,0.4816489,106440
1940,45.0,0.4833989,106989
1950,45.0,0.4849565,107544
1960,45.0,0.4870944,108090
1970,47.0,0.4905924,108640
1980,45.0,0.4921729,109195
1990,47.0,0.4935839,109746
2000,45.0,0.4951443,110300
2010,45.0,0.4977985,110847
2020,45.0,0.5014368,111392
2030,45.0,0.5034297,111940
2040,45.0,0.5056723,112490
2050,46.0,0.5081872,113033
2060,46.0,0.5129103,113590
2070,46.0,0.5145496,114141
2080,46.0,0.5167016,114689
2090,46.0,0.518551,115229
2100,46.0,0.5214847,115780
2110,47.0,0.5229109,116322
2120,47.0,0.5250688,116877
2130,48.0,0.5268263,117431
2140,47.0,0.5291439,117981
2150,47.0,0.5316799,118527
2160,52.0,0.5339316,119072
2170,52.0,0.5363629,119613
2180,52.0,0.538911,120158
2190,52.0,0.5414147,120712
2200,52.0,0.543262,121264
2210,52.0,0.5481835,121813
2220,51.0,0.5506229,122356
2230,52.0,0.5520957,122893
2240,52.0,0.5545082,123434
2250,52.0,0.5560697,123982
2260,52.0,0.5594805,124536
2270,53.0,0.5608871,125089
2280,53.0,0.5625249,125633
2290,53.0,0.5650899,126194
2300,52.0,0.5665726,126738
2310,52.0,0.5688917,127289
2320,52.0,0.570631,127842
2330,53.0,0.5741335,128394
2340,52.0,0.5761572,128937
2350,53.0,0.5781441,129483
2360,53.0,0.5797868,130031
2370,53.0,0.5824985,130572
2380,53.0,0.5839019,131128
2390,53.0,0.585707,131674
2400,53.0,0.58736,132218
2410,53.0,0.5888679,132767
2420,54.0,0.5904426,133322
2430,54.0,0.5927392,133877
2440,54.0,0.5950301,134427
2450,54.0,0.5968198,134978
2460,54.0,0.6004561,135530
2470,54.0,0.6019292,136078
2480,56.0,0.6044373,136630
2490,54.0,0.6068487,137176
2500,54.0,0.6082804,137732
2510,54.0,0.6109348,138278
2520,57.0,0.6131355,138821
2530,56.0,0.6145854,139366
2540,57.0,0.6169106,139913
2550,57.0,0.6183049,140457
2560,63.0,0.6199254,140998
2570,63.0,0.622483,141549
2580,63.0,0.624154,142099
2590,63.0,0.6264381,142652
2600,63.0,0.6278331,143195
2610,63.0,0.6292383,143750
2620,63.0,0.6317306,144296
2630,63.0,0.6341119,144836
2640,63.0,0.6359108,145383
2650,63.0,0.6381201,145934
2660,65.0,0.6405582,146487
2670,63.0,0.6421843,147043
2680,63.0,0.6441535,147584
2690,64.0,0.6460833,148137
2700,65.0,0.6475857,148690
2710,64.0,0.6490499,149239
2720,64.0,0.6514928,149789
2730,64.0,0.6530344,150337
2740,64.0,0.6547061,150886
2750,64.0,0.6565921,151434
2760,64.0,0.6587898,151982
2770,64.0,0.6613775,152529
2780,66.0,0.6639621,153087
2790,65.0,0.6664141,153636
2800,65.0,0.6689285,154183
2810,66.0,0.670472,154727
2820,65.0,0.6720932,155276
2830,65.0,0.6749934,155815
2840,64.0,0.6763641,156366
2850,64.0,0.6780448,156920
2860,65.0,0.6807071,157453
2870,65.0,0.6827774,157994
2880,64.0,0.6847776,158539
2890,64.0,0.6862034,159090
2900,64.0,0.6882488,159637
2910,64.0,0.6896332,160188
2920,64.0,0.692137,160731
2930,64.0,0.6946331,161273
2940,64.0,0.6967548,161818
2950,64.0,0.6989793,162356
2960,64.0,0.7010351,162901
2970,65.0,0.7028647,163449
2980,65.0,0.7054759,163997
2990,67.0,0.7073707,164547
3000,66.0,0.7100335,165094
3010,66.0,0.7121179,165638
3020,68.0,0.7137183,166185
3030,66.0,0.7162025,166724
3040,66.0,0.718602,167271
3050,66.0,0.7210535,167820
3060,66.0,0.7240033,168366
3070,66.0,0.7253803,168910
3080,66.0,0.7271066,169458
3090,66.0,0.7285552,170004
3100,66.0,0.7310283,170553
3110,66.0,0.7330868,171092
3120,67.0,0.7345965,171640
3130,66.0,0.7366666,172185
3140,66.0,0.7391619,172730
3150,66.0,0.740593,173280
3160,67.0,0.7426802,173828
3170,67.0,0.7446507,174376
3180,67.0,0.7469457,174925
3190,68.0,0.749126,175471
3200,68.0,0.7505114,176010
3210,68.0,0.7529149,176548
3220,68.0,0.7554901,177092
3230,68.0,0.7569281,177639
3240,68.0,0.7583069,178190
3250,68.0,0.7619959,178733
3260,68.0,0.7661066,179278
3270,68.0,0.7680708,179826
3280,68.0,0.7703545,180373
3290,68.0,0.7728271,180921
3300,68.0,0.7748534,181468
3310,68.0,0.7770483,182020
3320,68.0,0.7785666,182566
3330,68.0,0.7810257,183105
3340,68.0,0.7828919,183655
3350,70.0,0.7842709,184205
3360,70.0,0.7878534,184748
3370,68.0,0.7895721,185296
3380,68.0,0.7919063,185839
3390,68.0,0.7937743,186380
3400,68.0,0.7972158,186931
3410,68.0,0.799664,187477
3420,68.0,0.8014004,188021
3430,68.0,0.8033463,188563
3440,69.0,0.8062963,189110
3450,68.0,0.8086922,189661
3460,68.0,0.8123498,190212
3470,68.0,0.8137478,190758
3480,68.0,0.8157442,191303
3490,68.0,0.8171997,191856
3500,68.0,0.8193786,192403
3510,68.0,0.8208299,192962
3520,71.0,0.8242654,193512
3530,71.0,0.8260296,194060
3540,71.0,0.8285715,194606
3550,71.0,0.8300078,195162
3560,72.0,0.831512,195706
3570,72.0,0.8339569,196262
3580,73.0,0.8355371,196806
3590,73.0,0.836985,197357
3600,73.0,0.8387563,197906
3610,73.0,0.841292,198450
3620,73.0,0.843738,198995
3630,72.0,0.8461675,199543
3640,72.0,0.8488496,200099
3650,72.0,0.8505418,200644
3660,73.0,0.853632,201192
3670,75.0,0.8560098,201747
3680,73.0,0.8582214,202287
3690,73.0,0.8598375,202837
3700,73.0,0.86179,203382
3710,73.0,0.8632133,203930
3720,73.0,0.864759,204485
3730,72.0,0.8665973,205030
3740,73.0,0.868941,205577
3750,72.0,0.8723639,206118
3760,72.0,0.8750916,206672
3770,72.0,0.8765812,207212
3780,72.0,0.8784123,207756
3790,72.0,0.8816112,208307
3800,72.0,0.8835767,208858
3810,75.0,0.8858804,209402
3820,72.0,0.8883331,209951
3830,73.0,0.8906365,210502
3840,76.0,0.8920211,211049
3850,77.0,0.8934754,211593
3860,73.0,0.8971935,212141
3870,72.0,0.8993733,212694
3880,72.0,0.9008504,213239
3890,72.0,0.9022667,213801
3900,72.0,0.9049622,214355
3910,72.0,0.9064033,214915
3920,73.0,0.9105322,215462
3930,73.0,0.9129958,216011
3940,73.0,0.9154545,216567
3950,74.0,0.9170118,217109
3960,73.0,0.9198679,217654
3970,73.0,0.9223049,218213
3980,73.0,0.9245265,218754
3990,73.0,0.9259189,219306
4000,73.0,0.9294387,219848
4010,73.0,0.9311019,220407
4020,73.0,0.9332938,220958
4030,74.0,0.934995,221504
4040,74.0,0.9368112,222058
4050,74.0,0.9382366,222610
4060,74.0,0.9415756,223165
4070,74.0,0.9432969,223711
4080,73.0,0.9455916,224254
4090,75.0,0.948035,224802
4100,73.0,0.9504347,225347
4110,77.0,0.951892,225894
4120,77.0,0.9543457,226442
4130,77.0,0.9557462,226994
4140,77.0,0.9576621,227539
4150,77.0,0.9592439,228090
4160,77.0,0.9616424,228628
4170,77.0,0.9636346,229181
4180,77.0,0.9660608,229717
4190,73.0,0.9680364,230270
4200,73.0,0.9712505,230815
4210,73.0,0.9738901,231366
