iterations,fitness,time,fevals
0,24.0,0.00216140000003,787
10,22.0,0.00524490000004,1481
20,23.0,0.00972720000004,2185
30,25.0,0.0142144000001,2881
40,27.0,0.0172608000001,3578
50,28.0,0.0204494000001,4276
60,28.0,0.0234845000001,4983
70,28.0,0.0269443000001,5682
80,28.0,0.0306959000001,6373
90,28.0,0.0338557000001,7079
100,28.0,0.0426466000001,7779
110,29.0,0.0467167000001,8475
120,29.0,0.0510962000001,9183
130,29.0,0.0541570000001,9874
140,30.0,0.0575433000001,10583
150,31.0,0.0606726000001,11268
160,29.0,0.0633553000001,11966
170,30.0,0.0667873000001,12660
180,30.0,0.0699252000001,13358
190,31.0,0.0730190000001,14058
200,32.0,0.0766887000001,14753
210,32.0,0.0796214000001,15449
220,32.0,0.0821268000001,16157
230,36.0,0.0861166000001,16845
240,34.0,0.0904301,17535
250,36.0,0.0923404,18230
260,34.0,0.0954295,18925
270,35.0,0.0975714,19613
280,36.0,0.099465,20315
290,37.0,0.1017731,21022
300,39.0,0.1047945,21724
310,43.0,0.1067123,22430
320,44.0,0.1088472,23132
330,44.0,0.1119119,23831
340,47.0,0.1148909,24537
350,44.0,0.1168079,25241
360,48.0,0.1199587,25944
370,48.0,0.1218502,26640
380,52.0,0.1246709,27348
390,50.0,0.1267284,28040
400,52.0,0.1294201,28743
410,52.0,0.1311746,29429
420,51.0,0.1331465,30127
430,52.0,0.134839,30815
440,53.0,0.1365047,31496
450,55.0,0.1384022,32199
460,55.0,0.1401649,32883
470,55.0,0.1419045,33582
480,56.0,0.1436397,34280
490,55.0,0.1453469,34975
500,57.0,0.1486284,35683
510,57.0,0.1508084,36375
520,59.0,0.1550186,37085
530,60.0,0.1579652,37797
540,59.0,0.16099,38511
550,60.0,0.1629281,39211
560,61.0,0.1657488,39913
570,61.0,0.1688532,40613
580,60.0,0.1717244,41319
590,61.0,0.1749232,42012
600,61.0,0.1771415,42721
610,61.0,0.1800808,43413
620,60.0,0.18185,44114
630,60.0,0.1838774,44810
640,61.0,0.1868669,45507
650,65.0,0.189204,46188
660,63.0,0.1919828,46886
670,64.0,0.195819,47580
680,62.0,0.1976716,48301
690,62.0,0.1995587,49007
700,60.0,0.2014409,49704
710,60.0,0.2032469,50402
720,61.0,0.2051521,51113
730,63.0,0.207011,51806
740,62.0,0.2100055,52512
750,64.0,0.211685,53211
760,62.0,0.2146372,53913
770,62.0,0.2163745,54613
780,70.0,0.2183166,55310
790,73.0,0.2213499,56009
800,74.0,0.2238948,56705
810,74.0,0.2257158,57400
820,73.0,0.2285918,58084
830,73.0,0.2306281,58792
840,73.0,0.2328353,59503
850,73.0,0.235762,60210
860,73.0,0.2386334,60912
870,74.0,0.241383,61624
880,73.0,0.2440371,62318
890,73.0,0.2458284,63006
900,74.0,0.2475857,63717
910,74.0,0.2498886,64410
920,74.0,0.2516009,65115
930,74.0,0.2545205,65817
940,73.0,0.2571169,66489
950,73.0,0.2604101,67202
960,74.0,0.2630026,67904
970,75.0,0.2649472,68605
980,74.0,0.267671,69308
990,75.0,0.2698765,70006
1000,75.0,0.2721521,70700
1010,75.0,0.2746121,71390
1020,76.0,0.280949,72087
1030,76.0,0.2827363,72793
1040,76.0,0.2846502,73502
1050,76.0,0.2863538,74197
1060,76.0,0.2882478,74879
1070,77.0,0.2899447,75570
1080,77.0,0.2922084,76262
1090,75.0,0.2950349,76967
1100,75.0,0.297951,77657
1110,76.0,0.3009284,78352
1120,76.0,0.3038505,79040
1130,76.0,0.3057,79738
1140,76.0,0.3073331,80437
