k,Madelon sse (left)
2,20426.08257398605
3,18311.89428583937
4,16719.443437342743
5,15706.777428862988
6,14853.687661306401
7,14168.32251558396
8,13687.974153424282
9,13215.627375366068
10,12940.028378934689
15,11552.245372167763
20,10785.019916626024
25,10142.937820327632
30,9680.875552354175
35,9319.807305705643
40,9036.732904919883
