k,Adult sse (left)
2,14614.768498507881
3,12715.640947237447
4,11055.059205429501
5,9769.582272339048
6,9347.696159488476
7,8065.727483344996
8,7518.168865828134
9,7131.582862389259
10,6800.992202416353
15,5551.526834010665
20,4826.9274106432895
25,4361.380352991216
30,3978.9825764714915
35,3683.9961909064514
40,3443.2390144355318
