k,Madelon log-likelihood
2,1.1153020030644196
3,1.6292913213023856
4,1.7053063366850874
5,2.134803355864382
6,2.396530272536577
7,2.685391793814751
8,2.983111475418297
9,3.2159719144454915
10,3.5633297242982347
15,4.812500067253254
20,5.882679819871715
25,7.110774467841414
30,8.52298277419968
35,10.756828519164802
40,13.696243706414643
