k,Adult BIC
2,-897.4050340895581
3,-22811.43288148566
4,-59139.33908571376
5,-75256.57880820699
6,-72590.17889273036
7,-75678.16562054389
8,-82691.17984226103
9,-85504.21899728227
10,-88266.01841229855
15,-99461.86566835604
20,-100291.7616883967
25,-98434.70740603193
30,-100637.17158457513
35,-102143.4212546584
40,-100902.67565724257
