k,Adult log-likelihood
2,0.45774712031322845
3,5.864899432618309
4,14.748626360657108
5,18.75761462932908
6,18.236057881606968
7,19.10243809560463
8,20.915520551257764
9,21.71558441870639
10,22.503289448720146
15,25.811532442729142
20,26.619546002098286
25,26.77947699938218
30,27.918548966494342
35,28.889696546616648
40,29.198278939209015
