k,Madelon BIC
2,11204.845284919626
3,12663.457778554297
4,14715.054406094285
5,16230.566795904371
6,17940.40094892698
7,19352.017133182824
8,20900.71279966618
9,22735.90114216041
10,24531.822353891406
15,33865.54164669246
20,42650.2056096225
25,50154.63697998613
30,54692.844208548864
35,56508.509274872114
40,56997.92905835368
