k,Madelon BIC
2,-236380.71385016898
3,-225313.0959799228
4,-214335.35847914979
5,-203984.84386117425
6,-193061.81860967475
7,-182932.25653661974
8,-176208.8125718417
9,-164961.03959232196
10,-155030.24700731435
15,-114283.19119576589
20,-85440.57664019
25,-57225.201906350965
30,-26694.82959774218
35,10165.072182704927
40,48975.168874823314
