k,Madelon sse (left)
2,41.25715812493932
3,40.781786916574774
4,40.47551618380089
5,40.12636556535898
6,39.875654531088756
7,39.59538183434735
8,39.38560988583925
9,39.19397099048894
10,39.02042841185857
15,38.20937031932773
20,37.59113760151185
25,36.937452724138744
30,36.50166444233457
35,36.09711913291679
40,35.69810064781619
