k,Adult log-likelihood
2,203.43989156723967
3,210.0040786855905
4,211.74999294822865
5,212.0342109087024
6,221.40234089771315
7,225.29128678744104
8,236.43722186283696
9,234.76831131266
10,236.75278245866713
15,251.53878201668346
20,251.70962697404073
25,247.25300169825283
30,253.42424116567068
35,264.68764925238594
40,264.88320669826953
