k,Adult BIC
2,-814587.230700656
3,-827361.2522487225
4,-820158.7145370041
5,-806895.9839565122
6,-831295.1526463347
7,-832977.6240605306
8,-864747.5726385061
9,-843387.1712528563
10,-837173.6903795858
15,-826270.9533240412
20,-754773.7852941641
25,-664091.1256776672
30,-617471.5932865012
35,-591964.1919909425
40,-520569.48193849565
