,0,1,2,3,4,5,6,7,8,9
2,0.9620580660098167,0.965548976758562,0.9632104238765622,0.962867661276378,0.9618720771459002,0.9626160841563808,0.9615706618863864,0.9643119319360606,0.9632745719885555,0.9610662701066205
3,0.9544730995423466,0.9532126529367619,0.9547826358278155,0.950926431098425,0.9541420572120892,0.9527526983979755,0.9533599511117424,0.9513678490846867,0.9552308535029908,0.9566620148057595
4,0.9423471610819839,0.9469700397101822,0.9440754472354369,0.9434269686333868,0.9440807171169808,0.9442998417991844,0.9448649548101845,0.9449347841217718,0.9458474662280185,0.9451813175319438
5,0.9349455319969837,0.9336884919896618,0.9358119084776135,0.9332308401809785,0.9333926440213421,0.9337504715347266,0.9341555656527536,0.9353193645200192,0.9361094749353741,0.9280604443964346
6,0.9233110735047472,0.9303442348003474,0.9276856941839288,0.9260020761798958,0.9259994795212507,0.9246773548952796,0.9241331027700321,0.9277303022659641,0.928635698370027,0.9238979120189652
7,0.9173162053285231,0.915814800628595,0.9170518186973681,0.9147904080300979,0.910722568683317,0.9143968914089762,0.9138493444149984,0.914566815663731,0.9161062464449594,0.915946049758148
8,0.9019493838656514,0.9016280927180559,0.905361278532803,0.9058678874970623,0.9008768649905018,0.9056795952447798,0.9047763341636592,0.9041554428430363,0.9094233948077545,0.9098728028910917
9,0.8980015943989755,0.901980944193888,0.8961549136842621,0.8997312209855243,0.8938527045383285,0.8983292584552818,0.8945541405973372,0.8991588198886923,0.8963004350264224,0.895878238670076
10,0.8828237202757405,0.8852595017736611,0.8844180234533987,0.8889263560498233,0.887130993431105,0.8880791998898204,0.8830158159991546,0.8880375529897564,0.8916338800652439,0.8907969274503823
15,0.8358268653376929,0.8442702778831138,0.8330457552633055,0.8409650388864435,0.8377550919669998,0.8406864924044067,0.8396702235520082,0.848720600416348,0.8374630612569065,0.8421862743231527
20,0.7997451649859486,0.7958879804481241,0.7942196902804939,0.7953636896770048,0.7878791242477305,0.7949721469577575,0.7984729560018884,0.7931429708238843,0.7945368490687954,0.799674591591184
25,0.7471433096555875,0.7504771020033792,0.7515288735338851,0.754900297593139,0.743587149596411,0.7553389236240925,0.7466160578064892,0.7547771258410219,0.7471647998992511,0.7506141743026903
30,0.6963376842526147,0.7010574259818626,0.7044004931996257,0.7047523280046241,0.7035124138961832,0.7038383755794817,0.6981784587402604,0.7023599274612031,0.7055006532522421,0.7010439070599357
35,0.6643812507653054,0.6575561296910811,0.6553060857720915,0.6619755704101419,0.6563851621873741,0.6576543117168319,0.658455412500833,0.6515631549499598,0.6460451377890006,0.653048274628057
40,0.6089633190814915,0.6196387219924534,0.6093492997331903,0.6133482799365267,0.6144283790155822,0.6104569937901207,0.6040008272524162,0.6077317766135614,0.6050992681073416,0.6124303882970272
45,0.5568330970166157,0.5586840711731774,0.5717778961731711,0.5685281421358334,0.5622142074675198,0.5626909356713005,0.5620442444501904,0.563949886309509,0.5703960759535406,0.5608994535670836
50,0.5067627930562886,0.5191124128746568,0.5192900360521838,0.5194696465782063,0.5144126385129826,0.5124438754483477,0.512123306442339,0.5176023467591209,0.5160222152750277,0.5212032692413735
55,0.47325032342203077,0.47366668422262875,0.4679638738329767,0.46996086497104705,0.46920117866860844,0.47453502476544235,0.47095988649651965,0.47232900383232496,0.47180020683590407,0.4666363389423014
60,0.4174080307806146,0.4241117600411795,0.43260260399918865,0.42360690032262416,0.418354610002171,0.426904949515783,0.4242091343219036,0.42632978617964956,0.4242837655673387,0.426259149065774
