k,Madelon log-likelihood
2,-144.15150835582486
3,-143.00384634729602
4,-141.97343697237974
5,-140.95570308045345
6,-139.80035330894736
7,-138.36024319978426
8,-136.93752733692813
9,-135.46105369497377
10,-133.4190737812095
15,-99.69186608631793
20,-53.31776892090098
25,5.524023310881361
30,53.208568151281455
35,75.90279948733473
40,104.49228340788132
