k,Madelon BIC
2,308578.79265088064
3,319353.7370271819
4,330358.49656536384
5,341388.10005020606
6,352147.97641107196
7,362349.72251013
8,372585.5613319498
9,382716.03490673704
10,391738.11618877685
15,390754.59867187834
20,364983.17779275007
25,314775.0745835457
30,286435.1762614504
35,307076.29240787495
40,316162.71348869265
