k,Adult sse (left)
2,186347.88613686143
3,179768.44315246376
4,174560.07742322594
5,169801.04073360589
6,166648.92711987114
7,162299.22008233046
8,159666.07901187945
9,155339.14818519686
10,152523.31815002087
15,137028.23911958875
20,126548.36811204217
25,113022.95664666912
30,104141.30782584465
35,93856.07747261401
40,85940.22054176108
