k,Madelon sse (left)
2,479196.6791644281
3,470853.1299778266
4,464859.6071502237
5,459595.5130024658
6,455629.8120967315
7,452156.94500707847
8,449166.50907799916
9,446389.598571997
10,443028.6292168884
15,433397.3259294602
20,425202.05681622453
25,418737.67273719376
30,412242.4923636334
35,407041.80832238356
40,402866.9516856261
