k,Adult BIC
2,317727.5665618717
3,80235.21562433738
4,42739.849877286964
5,-77828.78609500696
6,-91093.71756019995
7,-141532.32771609502
8,-66140.60737200876
9,-73035.32755325225
10,-12444.9281939434
15,-147365.67009123045
20,-206708.76961208705
25,-204381.97524507716
30,-207404.63169849484
35,-198267.3033753761
40,-174746.17237126
