k,Madelon sse (left)
2,446741.7810980944
3,421711.23771726235
4,403228.84022537316
5,387513.47290845425
6,376379.1898690058
7,365697.53295485297
8,357753.2693979157
9,349906.937345516
10,344382.537735668
15,318645.30271749827
20,301282.44716932916
25,286715.76731779485
30,274770.8074513202
35,265507.0614978855
40,257068.12509729495
