k,Madelon sse (left)
2,456648.8841747623
3,449104.85249099554
4,443046.4911786941
5,438451.7843525588
6,434155.38838887797
7,430393.8591166693
8,427826.91540067445
9,424711.73063897283
10,422441.81890488765
15,411849.2637074795
20,404121.9761835392
25,396984.8797219035
30,391106.96159533726
35,386293.43420980364
40,382501.23771102144
